"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen2_0058",844,8.6,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0527584198196433,0.0687580924966777,0.0545443693819882,10
"gen2_0061",686,9.4,1,1,0,1,1,0,1,1,1,1,0,1,1,0.0530806720798366,0.109408795645895,0.0559036469545073,10
"gen2_0025",810,10.9,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0533189202223518,0.0905149663430592,0.0563221575067687,10
"gen2_0059",665,12,1,1,0,0,1,0,1,1,1,1,1,0,0,0.0543017706198418,0.0992609713896063,0.0582984860970916,8
"gen2_0030",806,10.6,1,1,1,0,1,0,1,1,1,1,1,0,0,0.0544038925066495,0.0843140257475424,0.0579056492836679,9
"gen2_0032",425,6.4,0,1,1,0,1,1,1,1,1,1,1,1,0,0.0545272045079233,0.0516092309884222,0.0547884448285517,10
"gen2_0035",675,4.9,1,0,0,1,1,0,1,1,1,1,0,0,1,0.054709051339475,0.0351614680475625,0.0540569951901312,8
"gen2_0022",234,8.8,0,0,1,1,1,1,1,1,1,1,1,1,1,0.0550729793697729,0.0911057365734573,0.0552697014606123,11
"gen2_0051",506,6.1,0,0,1,0,1,1,1,1,1,1,1,0,0,0.05520973351587,0.0352384040776691,0.0541878029170541,8
"gen2_0062",706,8.9,1,0,1,0,1,1,1,1,0,1,0,0,0,0.0552407903759391,0.0384999584745703,0.0525598444400934,7
"gen2_0001",807,12.9,1,0,0,0,1,0,1,1,1,1,0,1,0,0.0552794087295711,0.0919249422991673,0.05961700399444,7
"gen2_0033",501,14.3,0,1,0,1,1,1,1,1,1,0,1,1,0,0.0554990576365769,0.140026001433827,0.0583894805540348,9
"gen2_0044",536,13.1,1,1,1,1,1,0,1,1,0,1,1,1,0,0.0556037763366597,0.13598375862561,0.0545166008635518,10
"gen2_0049",580,7.8,0,0,0,0,1,0,1,1,1,1,1,1,0,0.0556148987998908,0.0504863891862061,0.0554465769949876,7
"gen2_0064",903,10.3,1,1,1,1,0,1,1,1,1,1,0,0,1,0.0556761479835671,0.0996372920067318,0.054594124901471,10
"gen2_0019",647,10.5,1,1,1,1,0,0,1,1,1,1,0,0,0,0.055716168925764,0.0597745284457025,0.055510517352677,8
"gen2_0034",652,7.9,0,0,0,0,1,0,1,1,1,1,1,1,0,0.0558354489779577,0.0450289192139165,0.0552688805533098,7
"gen2_0055",263,7.8,0,1,0,0,1,1,1,1,1,0,0,0,0,0.0559600523760325,0.0224077587059431,0.0545407406714117,6
"gen2_0039",551,8.1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.0560313973922259,0.0925010704190219,0.0527482896096499,11
"gen2_0007",449,13.3,0,0,0,0,1,0,1,1,1,1,1,0,0,0.056031464700177,0.0597676401684881,0.0558103113631923,6
"gen2_0002",687,2.1,1,0,1,1,1,1,1,1,1,1,0,0,1,0.0560683336018134,0.02397879101719,0.0538415997789411,10
"gen2_0057",809,5,1,0,1,1,0,1,1,1,1,1,0,1,0,0.0560819032156687,0.0458912280820626,0.0538903803616812,9
"gen2_0004",434,5.7,0,1,0,1,1,0,1,1,1,0,1,1,0,0.0561185381117442,0.0429203243995887,0.0555226378665396,8
"gen2_0028",692,4.6,0,0,1,1,1,0,1,1,1,0,1,0,1,0.0561997706844071,0.0401560918056821,0.0547247358880561,8
"gen2_0024",781,10.8,0,0,0,0,1,1,1,1,1,0,1,1,0,0.0562223964358568,0.0663929709362991,0.0563231101405543,7
