"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen11_0001",647,8.8,1,1,0,1,1,1,1,1,1,1,1,0,1
"gen11_0002",686,8.6,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0003",718,8,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0004",656,21.5,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0005",796,8.3,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0006",659,9.8,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0007",777,8.6,1,1,1,1,1,0,1,1,1,1,0,0,1
"gen11_0008",489,9.8,1,1,0,0,1,1,1,1,1,1,0,0,0
"gen11_0009",614,8.9,0,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0010",753,8.2,0,1,0,1,0,1,1,1,1,1,0,0,1
"gen11_0011",715,8.4,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0012",783,8.6,1,1,1,0,1,1,1,1,1,1,0,0,1
"gen11_0013",655,9,1,1,1,1,1,0,1,1,1,1,0,0,1
"gen11_0014",709,4.8,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0015",681,8.7,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0016",667,8.9,1,1,0,1,1,1,1,1,1,1,0,0,0
"gen11_0017",679,8.8,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0018",794,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0019",616,8.6,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0020",767,8.6,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0021",723,-4.7,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0022",721,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0023",683,9.8,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0024",729,8.2,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0025",682,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0026",674,-8.2,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0027",682,8.5,1,1,0,1,1,1,1,1,1,1,0,0,0
"gen11_0028",692,9.7,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0029",663,-3.2,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0030",674,9.1,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0031",713,8.2,1,1,0,1,1,1,1,1,1,0,1,0,1
"gen11_0032",687,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0033",819,9.9,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0034",643,8.5,1,1,1,1,1,1,1,0,1,1,0,0,1
"gen11_0035",711,8.4,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0036",723,8.5,1,1,0,1,1,1,0,1,1,1,0,0,1
"gen11_0037",677,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0038",775,3.6,0,1,1,1,1,1,1,1,1,0,0,0,1
"gen11_0039",661,9.3,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0040",662,9.3,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0041",461,9.8,1,1,0,1,1,1,0,1,1,1,0,0,1
"gen11_0042",824,8.3,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0043",662,9,1,1,1,1,1,1,1,1,1,0,0,0,1
"gen11_0044",221,8.6,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen11_0045",695,9.8,0,1,0,1,1,0,1,1,1,1,0,0,1
"gen11_0046",747,8.6,1,0,1,1,0,0,0,1,0,1,0,0,1
"gen11_0047",679,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0048",683,8.5,1,1,0,1,0,1,1,1,1,1,0,0,0
"gen11_0049",763,9.2,1,1,1,0,1,1,1,1,1,0,0,0,1
"gen11_0050",679,9.2,1,1,0,1,1,1,1,1,0,1,0,0,1
"gen11_0051",168,9.8,1,1,0,1,0,1,1,1,1,1,0,0,1
"gen11_0052",580,9.8,1,1,0,1,1,0,1,1,1,1,0,0,1
"gen11_0053",688,8.8,1,1,0,1,1,1,1,1,0,1,0,0,1
"gen11_0054",686,9.4,0,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0055",782,8.8,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen11_0056",656,8.8,1,1,1,1,1,1,0,1,1,1,0,0,1
"gen11_0057",609,8.5,0,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0058",758,-23,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0059",737,8.2,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0060",663,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0061",678,15.5,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0062",649,9.8,1,1,0,1,1,1,1,1,1,1,0,0,0
"gen11_0063",637,9,0,1,0,1,1,1,1,1,1,1,0,0,1
"gen11_0064",632,8.9,1,1,1,1,1,1,1,1,1,1,0,0,1
