"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen20_0011",698,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.052214844845489,0.0780057884889383,0.0529060884318309,10
"gen20_0055",753,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522385209774096,0.0897820001678566,0.0525712764560488,10
"gen20_0012",778,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522560131179883,0.0894570772874259,0.053445934736128,10
"gen20_0047",662,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522755712244157,0.0872338289266603,0.053048709253675,10
"gen20_0049",653,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0523344247273914,0.0842590227514184,0.05327792270413,10
"gen20_0058",733,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0523625539360819,0.081201190896503,0.0532973644245933,10
"gen20_0004",676,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.052369166233102,0.085856285170298,0.0533771477169938,10
"gen20_0050",750,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0523731470827301,0.0877335703624739,0.0526260204621509,10
"gen20_0034",686,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0523880154458462,0.0849870806317327,0.0520672010714203,10
"gen20_0054",690,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0523931854291451,0.0937172652350871,0.0531152083267368,10
"gen20_0046",681,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524315756819226,0.0841465288880667,0.0534167414010142,10
"gen20_0026",434,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524554226764986,0.0717509258450834,0.053092844496445,10
"gen20_0015",761,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524585443756194,0.0892568334625998,0.0530562144975807,10
"gen20_0043",694,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0524606040093796,0.086485766002717,0.0533845402662271,10
"gen20_0023",661,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0525281623567542,0.0728809949928322,0.0534839262822229,9
"gen20_0031",794,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525414772448739,0.0868136190419276,0.0530898930298367,10
"gen20_0009",675,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0525434823274837,0.0777454638822064,0.0537107460778899,9
"gen20_0041",781,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525446872248186,0.0859175173851654,0.0536746561316261,10
"gen20_0062",762,8.8,1,1,1,1,1,1,1,1,1,1,0,0,1,0.052545744540359,0.092279933698218,0.053498782932842,11
"gen20_0052",787,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.052546748507954,0.0944731723525767,0.0531261769777265,10
"gen20_0016",644,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525524445393347,0.0795608474225404,0.0532973657791782,10
"gen20_0063",718,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525633609995471,0.0958589941883967,0.0534757543269253,10
"gen20_0001",622,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525655078126274,0.0844181076422325,0.0529760774418764,10
"gen20_0040",747,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0525723908011572,0.0920808585610439,0.0528600386581593,10
"gen20_0033",674,8.9,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0526315498859595,0.0717245322204778,0.0539629656108385,9
"gen20_0021",693,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0526932161716148,0.0758081600045598,0.0543659464641463,9
"gen20_0029",661,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0526967716491695,0.0824227799814633,0.0525938218326214,10
"gen20_0035",673,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0527184427356895,0.0887288017546459,0.0537474430615023,10
"gen20_0024",658,8.9,0,1,0,1,1,1,1,1,1,1,0,0,1,0.0527247476753604,0.0825885499922003,0.0537962214855379,9
"gen20_0013",675,8.9,0,1,0,1,1,1,1,1,1,1,0,0,1,0.0527302648270221,0.0745454792195691,0.0536078745525731,9
"gen20_0010",780,8.8,1,1,0,0,1,1,1,1,1,1,0,0,1,0.052842944506967,0.0748538770747516,0.05351777087983,9
"gen20_0018",711,8.8,0,1,0,1,1,1,1,1,1,1,0,0,1,0.0528562306572017,0.0766280386171187,0.0541915702105341,9
"gen20_0038",785,8.9,1,1,0,1,1,1,1,1,1,0,0,0,1,0.0528584608024618,0.0744037199977136,0.0531912053190611,9
"gen20_0045",724,8.8,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0528825256509622,0.0768254943350251,0.053357795300581,9
"gen20_0037",692,8.8,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0528879356067767,0.113102622160946,0.0540437313348241,11
"gen20_0025",641,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0529329865046405,0.083002999791496,0.0525976634708156,10
"gen20_0061",780,8.8,1,1,0,0,1,1,1,1,1,1,0,0,1,0.0530149929025004,0.0729088582745807,0.0530189408412745,9
"gen20_0044",689,8.9,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0531167022502942,0.0766382249480633,0.0543365643957103,9
"gen20_0007",781,8.8,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0531254099957355,0.0786111108282503,0.0542237855744417,9
"gen20_0008",695,8.9,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0531618517742098,0.116539283030832,0.0538867964961165,11
"gen20_0020",682,8.9,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0531716300035913,0.112095403807214,0.0533853392245412,11
"gen20_0003",696,8.9,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0532148299772926,0.116448496537024,0.0545514713799168,11
"gen20_0064",201,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0532817505942557,0.0565768439951861,0.0525526487109153,10
"gen20_0036",647,8.8,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0533621489314113,0.0739182113069712,0.0538135379287193,9
"gen20_0042",780,8.8,1,1,0,1,1,1,1,1,1,1,1,0,1,0.0536865830675176,0.115871359908603,0.0537263167292033,11
"gen20_0039",727,8.8,1,1,0,1,1,1,1,1,1,1,1,0,1,0.0538363083389684,0.107600459443856,0.0542794683943219,11
"gen20_0057",718,8.8,1,1,0,1,1,1,1,1,0,1,0,0,1,0.0546396469880272,0.0642674535627889,0.0509806476450596,9
"gen20_0059",689,8.8,1,1,0,1,1,1,1,1,0,1,0,0,1,0.0549037754153791,0.0667072762270913,0.0504745449474153,9
"gen20_0017",748,8.9,1,1,0,1,0,1,1,1,1,1,0,0,1,0.0553220375189676,0.0723428475891684,0.0536604387742041,9
"gen20_0019",692,8.9,0,1,0,1,0,1,1,1,1,1,0,0,1,0.0553869710091687,0.061735060396376,0.054041873672233,8
"gen20_0048",743,8.8,0,1,0,1,0,1,1,1,1,1,0,1,1,0.0554641373839328,0.0916564397754117,0.0536632907033197,9
"gen20_0030",636,8.8,1,1,0,1,1,0,1,0,1,1,0,0,1,0.0562128276571439,0.0599171961731368,0.0564596196927822,8
"gen20_0027",653,15.4,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0563158882057406,0.196111539386142,0.0617371203018708,10
"gen20_0056",158,10.5,1,1,0,1,1,1,1,0,1,1,0,0,1,0.0566159646802683,0.057946428656577,0.0567623497183527,9
"gen20_0060",680,8.8,1,1,0,1,0,1,1,0,1,1,0,0,1,0.057691156574102,0.0588817354003074,0.0559748453857422,8
"gen20_0005",694,20.6,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0618935963630935,0.302469729110104,0.0659726689140998,9
"gen20_0014",809,-6.2,0,0,0,1,1,1,1,1,1,1,0,0,1,0.065033964673233,0.00617892398882242,0.061044652915839,8
"gen20_0022",743,-6.6,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0667437440396863,0.00801016271203304,0.06681253959576,10
"gen20_0032",709,-5.4,1,1,0,1,1,1,1,0,1,1,0,0,1,0.0686528496975257,0.00670040345759135,0.0676462494423816,9
"gen20_0002",673,21.9,0,1,0,1,1,1,1,1,1,1,0,0,0,0.0687662702785919,0.254219233405881,0.0649945474943968,8
"gen20_0006",685,-7.2,1,1,0,1,1,1,1,1,1,1,0,1,1,0.069367106048448,0.00825997910724524,0.0692127008079817,11
"gen20_0028",987,-8.5,1,0,0,1,1,1,1,1,1,1,0,0,1,0.0730482541459398,0.00398700555749164,0.0715090552374797,9
"gen20_0053",782,8.8,1,0,1,1,1,1,0,1,1,1,0,0,1,0.0819408522288379,0.0674611092047388,0.0984031918341903,9
"gen20_0051",718,-14.1,1,1,0,1,1,1,1,1,1,1,0,0,1,0.202868083152823,0.000180000271842099,0.20187740385555,10
