"Gen","Time","MinutesAll","MinutesThis","NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-02 23:52:14",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-03 00:15:35",23.3648221492767,23.3648221492767,"gen0_046",435,6.1,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0553683382011928,0.0410246658878452,0.0564380677296589,8
1,"2014-12-03 00:38:22",46.1474742174149,22.7974742174149,"gen1_0030",807,12.9,1,0,0,0,1,0,1,1,1,1,0,1,0,0.0553132537788163,0.0936827467370411,0.06013709186999,7
2,"2014-12-03 01:08:23",76.1653858939807,30.0320525606473,"gen2_0058",844,8.6,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0527584198196433,0.0687580924966777,0.0545443693819882,10
3,"2014-12-03 01:34:22",102.146110868454,25.996110868454,"gen3_0001",844,8.6,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0526760722688737,0.0683707075145128,0.0545097294944371,10
4,"2014-12-03 02:00:53",128.665224051476,26.5318907181422,"gen4_0038",863,8.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0524990475396514,0.0672580370564669,0.054632298495844,10
5,"2014-12-03 02:28:47",156.550057804584,27.9000578045845,"gen5_0062",641,8.5,0,1,1,1,1,1,1,1,1,1,0,0,1,0.0527252124711374,0.0804436833500782,0.0532015856489339,10
6,"2014-12-03 02:55:31",183.292839316527,26.742839316527,"gen6_0024",663,10.1,1,0,1,1,1,1,1,1,1,1,0,0,1,0.0523685875597487,0.107030733534093,0.0540868318450245,10
7,"2014-12-03 03:22:18",210.078443336487,26.7951100031535,"gen7_0027",827,8.6,1,1,1,1,1,1,1,1,1,1,0,0,1,0.0523834636847329,0.0928808454873842,0.0535539537232247,11
8,"2014-12-03 03:55:09",242.921156787872,32.8544901212057,"gen8_0044",764,7.7,1,1,0,1,1,1,1,1,1,1,0,0,1,0.052266982410726,0.0748377002476608,0.0526510278326612,10
9,"2014-12-03 04:25:50",273.609615719318,30.6929490526517,"gen9_0004",827,8.6,1,1,1,1,1,1,1,1,1,1,0,0,1,0.0521398313835708,0.0915714690664059,0.0531096978351772,11
10,"2014-12-03 04:58:57",306.717869528135,33.1178695281347,"gen10_0002",647,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0522106139774251,0.0901067483255327,0.0534420096967942,10
11,"2014-12-03 05:29:58",337.743859378497,31.0271927118301,"gen11_0003",718,8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0520961379558046,0.0732205123818733,0.0519868914696363,10
12,"2014-12-03 06:02:52",370.635492853324,32.9021595199903,"gen12_0028",687,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0520920231705316,0.0799056778730867,0.0525844698660341,10
13,"2014-12-03 06:36:40",404.434931790829,33.8015984574954,"gen13_0039",665,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0520705127082234,0.080634949961978,0.0533377495548793,10
14,"2014-12-03 07:08:08",435.908144478003,31.4748111446699,"gen14_0025",664,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0521385684423848,0.0849546965779869,0.0525077220142529,10
15,"2014-12-03 07:39:52",467.638311358293,31.7383113582929,"gen15_0039",695,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0520268316333526,0.0837877747862041,0.0534970688966674,10
16,"2014-12-03 08:11:37",499.394556581974,31.7612232486407,"gen16_0036",663,8.8,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0522005023505613,0.0748356365982009,0.0539483688715141,9
17,"2014-12-03 08:41:01",528.789660986264,29.4063276529312,"gen17_0012",674,8.7,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0521788357555827,0.0845831785255981,0.0532607551357985,10
18,"2014-12-03 09:11:31",559.291603223483,30.5082698901494,"gen18_0059",711,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0521603906002006,0.0803544825542244,0.05358383555813,10
19,"2014-12-03 09:41:02",588.80796567599,29.5246323426565,"gen19_0062",622,8.8,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0521936436954291,0.0803535094273135,0.0533817552011736,10
20,"2014-12-03 10:15:09",622.917672538757,34.1176725387573,"gen20_0011",698,8.9,1,1,0,1,1,1,1,1,1,1,0,0,1,0.052214844845489,0.0780057884889383,0.0529060884318309,10
