"Gen","Time","MinutesAll","MinutesThis","NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-09 09:20:36",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-09 09:31:03",10.4551004171371,10.4551004171371,"gen0_010",15,0.514842,1,1,1,1,1,0,1,1,1,1,1,1,1,0.054227974907279,0.0570153103613096,0.0515996817751481,12
1,"2014-12-09 09:39:07",18.5184928218524,8.06849282185237,"gen1_0034",14,0.246667,1,1,1,0,1,0,1,1,1,1,1,1,1,0.0539808409672771,0.0913440341917548,0.0523569368154684,11
2,"2014-12-09 09:50:54",30.3120760599772,11.7954093933105,"gen2_0017",14,0.253296,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0538149637459602,0.0885648841465771,0.053055570007171,11
3,"2014-12-09 10:01:05",40.4843333482742,10.1843333482742,"gen3_0052",12,0.279557,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0532078275553357,0.0894756885580213,0.0513819329598661,12
4,"2014-12-09 10:12:20",51.7476729631424,11.2643396298091,"gen4_0001",12,0.279557,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0532078275553357,0.0823858571710139,0.0513819329598661,12
5,"2014-12-09 10:24:20",63.7368908524513,12.003557519118,"gen5_0037",26,0.306651,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0534076313513614,0.0759377186520679,0.0532858789480353,11
6,"2014-12-09 10:40:19",79.7261882265409,15.9928548932076,"gen6_0060",17,0.27916,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0531970170297538,0.0841127538218324,0.0522710959340705,11
7,"2014-12-09 11:00:55",100.326746547222,20.6100798805555,"gen7_0064",23,0.265046,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0531251327755948,0.100663410813937,0.0533240215441647,12
8,"2014-12-09 11:22:29",121.890736174583,21.5740695079168,"gen8_0043",17,0.285219,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0530159473726947,0.0714273320539002,0.052158387609196,11
9,"2014-12-09 11:37:18",136.706249177456,14.8229158441226,"gen9_0001",17,0.285219,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0530159473726947,0.0725922630112935,0.052158387609196,11
10,"2014-12-09 11:52:09",151.55251964728,14.8525196472804,"gen10_0001",17,0.285219,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0530159473726947,0.0766214825471639,0.052158387609196,11
11,"2014-12-09 12:05:54",165.307172115644,13.7571721156438,"gen11_0012",22,0.29674,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0530596626827655,0.0695306464162171,0.0526330140912567,10
12,"2014-12-09 12:19:00",178.402012936274,13.1020129362742,"gen12_0001",22,0.29674,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0530596626827655,0.0705456035474554,0.0526330140912567,10
13,"2014-12-09 12:32:15",191.655074552695,13.255074552695,"gen13_0056",18,0.280785,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0530387376991803,0.0809028562725501,0.0507068407043518,12
14,"2014-12-09 12:44:51",204.258526841799,12.6085268417994,"gen14_0019",17,0.272698,1,1,0,1,1,1,1,1,1,1,0,1,1,0.053231200271185,0.0812855407388454,0.0517514357969213,11
15,"2014-12-09 13:03:15",222.665293192863,18.4152931928635,"gen15_0027",28,0.285135,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0531407974055308,0.0957339151224736,0.0524779512802342,13
16,"2014-12-09 13:19:40",239.069156829516,16.4191568295161,"gen16_0051",16,0.272984,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0530685574693618,0.0936330212273084,0.0533505549593074,13
17,"2014-12-09 13:34:37",254.030251244704,14.9635845780373,"gen17_0043",22,0.284773,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0530297240517623,0.0708492977796586,0.0522386363699827,11
18,"2014-12-09 13:50:01",269.428191888332,15.4115252216657,"gen18_0001",22,0.284773,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0530297240517623,0.0710937885636815,0.0522386363699827,11
19,"2014-12-09 14:04:29",283.895468783379,14.4788021167119,"gen19_0001",22,0.284773,1,1,1,1,1,1,1,1,1,0,0,1,1,0.0530297240517623,0.0661788953391402,0.0522386363699827,11
20,"2014-12-09 14:19:54",299.302965740363,15.4196324070295,"gen20_0002",22,0.287759,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0530317876254069,0.0593919750777926,0.0526514100586171,10
