"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen11_0001",17,0.285219,1,1,0,1,1,1,1,1,1,1,0,0,0
"gen11_0002",17,0.27213,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen11_0003",25,0.298566,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen11_0004",18,0.294652,1,1,1,0,0,1,1,1,1,1,1,1,1
"gen11_0005",16,0.274431,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0006",20,0.297808,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen11_0007",19,0.288987,0,1,1,0,1,1,1,1,1,1,1,1,1
"gen11_0008",16,0.318217,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0009",16,0.293506,1,1,1,0,1,1,1,1,1,1,1,1,1
"gen11_0010",19,0.292259,1,1,1,0,1,0,1,0,1,1,1,1,1
"gen11_0011",26,0.272898,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0012",22,0.29674,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen11_0013",22,0.297557,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen11_0014",20,0.308813,1,1,1,0,1,1,1,1,1,1,1,1,1
"gen11_0015",14,0.364252,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0016",22,0.275149,1,1,0,0,1,1,1,1,1,1,0,1,1
"gen11_0017",15,0.327292,1,1,1,0,1,1,1,1,1,1,1,1,1
"gen11_0018",11,0.330466,1,1,0,1,1,1,0,1,1,1,1,1,1
"gen11_0019",15,0.311979,1,1,0,0,1,1,0,1,1,1,1,1,1
"gen11_0020",15,0.418423,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen11_0021",22,0.295502,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0022",16,0.295561,1,1,1,0,1,1,1,1,1,1,1,1,0
"gen11_0023",25,0.299665,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen11_0024",17,0.313565,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen11_0025",17,0.298362,1,1,0,1,0,1,1,1,1,1,1,1,1
"gen11_0026",15,0.360542,1,1,0,0,1,1,1,1,1,1,1,1,1
"gen11_0027",20,0.936563,1,1,1,1,1,1,0,1,1,1,1,1,1
"gen11_0028",22,0.297196,1,1,0,0,1,1,1,1,1,1,0,1,0
"gen11_0029",19,0.295138,1,1,0,1,1,1,1,1,0,0,1,1,0
"gen11_0030",20,0.291657,1,1,0,0,1,1,1,1,1,1,0,1,1
"gen11_0031",22,0.273905,1,1,0,0,1,1,1,1,1,1,0,1,1
"gen11_0032",26,0.274142,1,1,0,1,0,1,0,1,1,1,0,1,1
"gen11_0033",26,0.273037,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen11_0034",23,0.298427,0,1,0,1,0,1,1,1,1,1,0,0,1
"gen11_0035",24,0.272767,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen11_0036",18,0.585614,1,1,0,0,1,1,1,1,1,1,1,1,1
"gen11_0037",21,0.288169,1,1,1,0,1,1,1,1,1,1,0,1,1
"gen11_0038",21,0.308902,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0039",19,0.307097,1,1,0,1,1,0,1,1,1,1,1,1,1
"gen11_0040",14,0.346142,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0041",19,0.289423,1,0,1,0,1,1,1,1,1,1,0,1,1
"gen11_0042",21,0.293487,1,1,1,1,1,1,0,1,1,1,1,1,1
"gen11_0043",22,0.297775,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen11_0044",21,0.29759,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen11_0045",20,0.393591,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen11_0046",22,0.288412,1,1,0,1,0,1,1,1,1,1,0,1,1
"gen11_0047",20,0.288988,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0048",21,0.288257,1,1,1,0,1,1,1,1,1,1,0,1,1
"gen11_0049",19,0.293639,1,1,1,0,1,1,1,1,1,1,0,1,0
"gen11_0050",14,0.296428,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0051",22,0.284739,1,1,0,0,1,1,1,1,1,1,0,1,1
"gen11_0052",19,0.282669,1,1,1,0,1,1,1,1,1,1,1,1,1
"gen11_0053",16,0.273482,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen11_0054",17,0.273079,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen11_0055",18,0.677282,1,1,0,0,1,1,1,1,1,0,0,1,1
"gen11_0056",18,0.286175,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen11_0057",20,0.288991,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen11_0058",18,0.324431,1,1,0,0,1,1,1,0,1,1,1,1,1
"gen11_0059",19,0.279864,1,1,0,0,1,1,1,1,1,1,1,1,1
"gen11_0060",17,0.30338,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0061",18,0.287285,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen11_0062",24,0.2965,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen11_0063",17,0.315979,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen11_0064",16,0.287457,1,1,0,0,1,1,1,1,1,1,0,1,1
