"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen12_0001",22,0.29674,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0530596626827655,0.0705456035474554,0.0526330140912567,10
"gen12_0061",17,0.29308,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0530640923125834,0.0725127932219352,0.0520212138065215,11
"gen12_0038",18,0.279199,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0531405206870607,0.0828816033066071,0.050699982048353,12
"gen12_0002",17,0.27213,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0532382259041188,0.086192676081642,0.0510760584816317,11
"gen12_0026",16,0.29572,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0532610527561925,0.0864112729762552,0.0516355000455908,13
"gen12_0005",20,0.288988,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0532926329896223,0.087704900393528,0.0523531804066108,12
"gen12_0017",25,0.29068,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0533627551203673,0.0727574788974943,0.0513205226151937,10
"gen12_0007",16,0.274431,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0533668790231705,0.0878121550621249,0.0513199860897899,12
"gen12_0008",24,0.272767,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0533755620740324,0.0690216877427989,0.0529688794508764,10
"gen12_0010",20,0.297808,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0534130851225133,0.0627782399207557,0.0521340178132033,10
"gen12_0012",19,0.288987,0,1,1,0,1,1,1,1,1,1,1,1,1,0.0534219124675761,0.0890971068620476,0.0525401967368405,11
"gen12_0033",18,0.316772,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0534404388430299,0.0848463874506419,0.0532429202603902,13
"gen12_0013",16,0.318217,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0534440721750553,0.0859957762035838,0.0516966748992075,13
"gen12_0064",23,0.313859,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0534487952293148,0.0792852931588068,0.0537853297875302,12
"gen12_0050",19,0.308404,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534508133687736,0.0754328528605654,0.0528934134118427,11
"gen12_0015",16,0.293506,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0534559487579866,0.0861521179330848,0.0531782043079111,12
"gen12_0016",22,0.297775,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534752312555209,0.0807693020094345,0.051602736229807,11
