"Par1","Par2"
3,13
15,3
11,2
5,8
8,12
9,14
2,7
10,16
1,6
2,7
1,11
4,15
16,13
3,1
13,2
16,3
10,3
1,10
5,12
12,8
12,15
3,15
13,8
12,15
11,7
12,13
3,13
2,7
13,8
16,11
16,7
10,9
15,8
3,5
4,1
16,8
15,9
12,4
15,12
9,13
6,11
12,9
13,5
12,13
10,3
7,2
1,8
15,12
