"Par1","Par2"
15,1
16,4
5,14
12,3
16,4
16,15
15,8
9,5
2,14
12,1
3,1
10,5
15,4
8,7
9,12
2,7
11,3
6,14
14,9
16,10
8,9
3,12
1,7
2,3
10,9
14,15
10,13
15,13
6,13
7,1
3,6
14,4
6,12
13,7
9,4
16,2
1,11
13,14
10,4
9,15
8,12
4,6
2,6
14,9
7,12
9,7
15,7
16,6
