"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen4_0033",22,0.233952,1,1,1,1,1,1,1,1,1,1,0,1,0,0.0547508353529604,0.0532148723376873,0.0599812670625756,11
"gen4_0001",22,0.23146,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0550735832006351,0.0573580347967768,0.0596234181883875,11
"gen4_0018",20,0.31811,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0551448167366941,0.0475489610849615,0.0606155611177041,12
"gen4_0039",21,0.210691,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0551645039832774,0.0592358162900711,0.0605253228312377,11
"gen4_0049",18,0.267676,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0551862187040905,0.0481096328391286,0.0602243169341153,12
"gen4_0032",14,0.366283,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0551894011408822,0.0380401338002907,0.0593774329321732,12
"gen4_0052",19,0.312623,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0552071978291887,0.0462983219161918,0.0595633345511486,12
"gen4_0060",19,0.40995,1,0,1,1,1,1,1,1,1,1,1,1,1,0.055332297690074,0.0399748488834967,0.0595685498607941,12
"gen4_0008",17,0.187477,0,1,0,1,1,1,1,1,1,1,1,1,0,0.055332427413345,0.0472893234596533,0.0613715513062641,10
"gen4_0037",14,0.540699,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0554003332694757,0.0333053770854653,0.0599267822937293,13
"gen4_0036",24,0.675533,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0554105142073424,0.0267628073447063,0.0593714455914073,13
"gen4_0004",19,0.539297,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0554225474095187,0.0279289934790407,0.0597103821652498,12
"gen4_0061",15,0.434997,1,1,1,1,1,1,1,1,1,0,1,1,1,0.0554309151801618,0.03234164509258,0.0590951665924445,12
"gen4_0005",15,0.485206,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0554752727911409,0.0358079875379078,0.0599133344979422,12
"gen4_0054",18,0.332847,1,0,1,1,1,1,1,1,1,0,1,1,0,0.055477216672337,0.0302858944978302,0.0605759342517609,10
"gen4_0026",15,0.546589,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0554922895646369,0.0309367874626185,0.0596638878569625,12
"gen4_0015",23,0.882273,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0555167994944903,0.0210977426031229,0.0592837353825966,13
"gen4_0048",20,0.535731,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0555404740333579,0.0324586432007391,0.0593825318855425,12
"gen4_0055",15,0.572925,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0555416856490735,0.0281934119059188,0.0595892770142532,12
"gen4_0056",15,0.36734,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0555511643350386,0.0343492057030141,0.0599754237151143,11
"gen4_0022",20,0.652482,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0556484550206215,0.027108570356031,0.0597298488750722,13
"gen4_0040",20,0.501725,1,0,1,1,1,1,1,1,1,1,0,1,1,0.0557483238094776,0.0272366493270898,0.0595657861807685,11
"gen4_0009",14,0.496999,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0557625477899844,0.0284956705287291,0.0592345858766978,11
"gen4_0020",20,0.830707,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0557666360874077,0.0244807367785531,0.0595018069757061,12
"gen4_0025",15,0.602642,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0557672611477498,0.0212220997769689,0.0593987253449355,11
"gen4_0017",22,0.576474,1,1,0,1,1,1,1,1,1,1,0,1,1,0.0557769759893727,0.0255914845399694,0.0596999208088156,11
"gen4_0029",17,0.858262,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0558092835788615,0.0221930086538952,0.0595262848870041,12
"gen4_0043",22,0.748236,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0558103163867277,0.0224150230095324,0.0598391263772488,12
"gen4_0030",19,0.13961,1,1,1,1,1,1,1,1,1,1,1,0,1,0.0558408667302042,0.0578123643202984,0.0602913922682043,12
"gen4_0007",19,0.422805,0,0,1,1,1,1,1,1,1,0,1,1,0,0.0558593902337577,0.0244582052661404,0.0607372910624654,9
"gen4_0006",17,0.80557,1,1,1,1,1,1,1,1,1,1,0,1,1,0.0558611709832982,0.0210425345757373,0.0595569721712491,12
"gen4_0045",17,0.781105,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0558704817019806,0.0242065695762114,0.0595448018747193,12
"gen4_0051",16,0.278106,0,0,1,1,1,1,1,1,1,0,1,0,1,0.0559659923537174,0.0336385425939689,0.0592354994023194,9
"gen4_0024",17,0.496999,1,0,0,1,1,1,1,1,1,1,1,1,1,0.0559919528392709,0.0303787331765543,0.0600004980604784,11
"gen4_0019",23,0.71469,1,0,1,1,1,1,1,1,1,1,1,0,1,0.0560248883800021,0.0225766789375388,0.0595333237993746,11
"gen4_0021",17,0.816212,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0560360039525308,0.0243204565382214,0.059232517055344,12
