"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen9_0039",20,0.251921,1,0,0,1,1,1,1,1,1,1,0,1,0,0.0559170788996444,0.0363065846291076,0.0611916531398032,9
"gen9_0023",19,0.167117,1,1,0,1,1,1,1,1,0,1,1,1,1,0.0561406242459102,0.0586560732986696,0.0604391531051226,11
"gen9_0054",28,0.289513,1,1,1,1,1,1,1,1,0,1,0,1,0,0.0561849040984473,0.0366101559297906,0.0604534088991009,10
"gen9_0041",20,0.793519,0,0,1,1,1,1,1,1,1,1,0,1,0,0.056539582144248,0.017824666759166,0.0602044332559538,9
"gen9_0015",19,0.292641,1,1,1,1,0,1,1,1,1,1,1,1,1,0.056960220241467,0.0464631679740601,0.0588530407914548,12
"gen9_0022",20,0.229421,1,1,0,1,1,1,1,0,1,1,0,1,1,0.0570910814237819,0.0434500499412935,0.0618430521428833,10
"gen9_0013",20,0.265808,1,0,1,1,1,1,1,0,1,1,0,1,0,0.0575346008600779,0.0343961365841321,0.0633835491325734,9
"gen9_0044",20,0.235284,1,0,0,1,0,1,1,1,1,1,0,1,0,0.0581538610124017,0.0306625527148888,0.0610497420142867,8
"gen9_0024",23,0.192555,1,1,0,1,1,1,0,1,1,1,1,1,0,0.0901730135829821,0.0710053009914538,0.109460626516287,10
"gen9_0064",20,0.24403,1,1,0,1,1,0,0,1,1,1,0,1,1,0.0907594064008645,0.0547531923474219,0.109891775371351,9
"gen9_0025",3,0.213736,1,1,1,1,1,1,0,1,1,1,0,1,1,0.0946254228580125,0.00982831577121361,0.11014266908175,11
"gen9_0008",17,0.235057,0,1,0,1,1,1,0,1,1,1,1,1,1,0.0973486946985267,0.0551768458779242,0.116588912927452,10
