"Par1","Par2"
8,12
1,15
12,5
13,3
5,14
15,16
7,9
8,11
7,16
16,3
14,1
2,12
2,3
8,1
13,6
15,7
12,2
7,5
13,4
1,16
5,15
6,8
5,8
8,10
2,14
12,15
8,5
10,4
13,14
13,1
7,10
5,16
5,14
11,9
7,12
4,8
8,10
4,1
8,12
6,15
2,14
13,3
16,6
16,12
13,5
3,8
2,15
10,12
