"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen20_0007",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0311458618269151,0.0572985198187231,10
"gen20_0009",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0369697101995917,0.0572985198187231,10
"gen20_0013",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0388478299137852,0.0572985198187231,10
"gen20_0015",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0371875990989002,0.0572985198187231,10
"gen20_0016",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0364926737749466,0.0572985198187231,10
"gen20_0017",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0358801285768844,0.0572985198187231,10
"gen20_0018",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.028191237932501,0.0572985198187231,10
"gen20_0019",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0336598096714511,0.0572985198187231,10
"gen20_0022",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0378575357218024,0.0572985198187231,10
"gen20_0028",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0384739138068514,0.0572985198187231,10
"gen20_0033",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0405231695043429,0.0572985198187231,10
"gen20_0034",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0408220577658715,0.0572985198187231,10
"gen20_0039",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0234286630991452,0.0572985198187231,10
"gen20_0040",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.031890066646736,0.0572985198187231,10
"gen20_0041",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0398021829817563,0.0572985198187231,10
"gen20_0042",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0279582971121201,0.0572985198187231,10
"gen20_0044",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0484315382435885,0.0572985198187231,10
"gen20_0045",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0459138522521151,0.0572985198187231,10
"gen20_0046",9,1,0,1,0,1,1,1,1,1,1,1,0,1,0.057791415735414,0.0425937163345129,0.0572985198187231,10
