"TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Rad"
0.362107267534116,0.248027057497182,0.531512605042017,0.841867469879518,0.163879598662207,0.251366120218579,0.0130048895179377,0.109054857898215,0.189019393608304,0.0449475065616798,1,0,1,0.0231233243967829
0.257061250396699,0.153325817361894,0.374549819927971,0.836847389558233,0.178929765886288,0.00546448087431694,0.0230543743121041,0.170852610707204,0.200491668942912,0.168635170603675,1,0,0,0.0449061662198392
0.126943827356395,0.0394588500563698,0.190576230492197,0.436746987951807,0.295986622073579,0,0.0324923652245008,0.239920687376074,0.161704452335428,0.335958005249344,0,0,0,0.215482573726542
0.024436686766106,0.0546786922209696,0.123949579831933,0.702560240963855,0.148829431438127,0,0.0359933554362806,0.331130204890945,0.198306473641082,0.288057742782152,0,0,1,0.301943699731903
0.0368137099333545,0.0191657271702367,0.129951980792317,0.684989959839357,0.178929765886288,0.0163934426229508,0.0396692904001238,0.282881692002644,0.27369571155422,0.435367454068242,1,0,0,0.107238605898123
0.169152649952396,0.213923337091319,0.202581032412965,0.646084337349398,0.254180602006689,0,0.0435185050857661,0.431262392597488,0.233815897295821,0.512139107611549,0,1,0,0.294906166219839
0.143446524912726,0.259301014656144,0.180672268907563,0.690010040160643,0.148829431438127,0,0.0475392463622013,0.508592200925314,0.356459983611035,0.186351706036745,0,0,1,0.314008042895442
0.106315455410981,0,0.202581032412965,0.831827309236948,0.138795986622074,0.0327868852459016,0.0517296739634745,0.180436219431593,0.420376946189566,0.269685039370079,1,0,0,0.0194369973190349
0.162488099016185,0.115276211950395,0.249099639855942,0.835592369477912,0.122073578595318,0,0.0560878615539443,0.264375413086583,0.149139579349904,0.30741469816273,0,1,1,0.146447721179625
0.183751190098381,0.147688838782413,0.249099639855942,0.73644578313253,0.297658862876254,0.00546448087431694,0.0606117978947575,0.302379378717779,0.21851953018301,0.273950131233596,1,0,0,0.206434316353887
0.242780069819105,0.206313416009019,0.342136854741897,0.619854417670683,0.304347826086956,0,0.0652993881127986,0.26867151354924,0.249931712646818,0.399606299212598,0,1,0,0.232238605898123
0.251983497302444,0.291431792559188,0.317827130852341,0.690010040160643,0.133779264214047,0,0.0701484550728628,0.395241242564442,0.222070472548484,0.397309711286089,0,0,1,0.292560321715818
0.200888606791495,0.224915445321308,0.249099639855942,0.745230923694779,0.137123745819398,0.00546448087431694,0.0751567408532123,0.392927957699934,0.3266866976236,0.168307086614173,1,0,1,0.282506702412869
0.142494446207553,0.142051860202931,0.222989195678271,0.686244979919679,0.237458193979933,0,0.0911131539659189,0.324520819563781,0.178639715924611,0.357939632545932,0,1,1,0.314008042895442
0.354807997461123,0.2347801578354,0.400360144057623,0.722640562248996,0.533444816053512,0.092896174863388,0.108413847122498,0.237937871777925,0.0882272603113903,0.223425196850394,1,1,1,0.135053619302949
0.233894001904157,0.162908680947012,0.342136854741897,0.767821285140562,0.381270903010033,0.153005464480874,0.114467013671935,0.217779246530073,0.196667577164709,0.278871391076115,1,1,1,0.0686997319034853
0.226277372262774,0.191375422773393,0.321728691476591,0.671184738955823,0.426421404682274,0.00546448087431694,0.120658637783377,0.273628552544613,0.180005462988255,0.252296587926509,1,1,0,0.146782841823056
0.262139003490955,0.178128523111612,0.331932773109244,0.718875502008032,0.331103678929766,0,0.126985817332683,0.246860541969597,0.226167713739415,0.113517060367454,0,1,0,0.149128686327078
0.348460806093304,0.221533258173619,0.505102040816326,0.761546184738956,0.31438127090301,0,0.133445589520145,0.107072042300066,0.204042611308386,0.201115485564304,0,0,1,0.0479222520107239
0.365915582354808,0.253664036076663,0.459183673469388,0.835592369477912,0.160535117056856,0.0163934426229508,0.140034933349692,0.195307336417713,0.0885004097241192,0.207677165354331,1,0,1,0.0784182305630027
0.322119961916852,0.26662908680947,0.466986794717887,0.777861445783133,0.337792642140468,0.0109289617486339,0.146750772175767,0.201916721744878,0.161431302922699,0.190616797900262,1,1,1,0.181300268096515
0.284036813709933,0.202649379932356,0.414465786314526,0.708835341365462,0.535117056856187,0.0546448087431694,0.153589976312465,0.18473231989425,0.166894291177274,0.0780839895013123,1,1,1,0.205093833780161
0.274516026658204,0.155580608793687,0.392256902761104,0.815512048192771,0.478260869565217,0.087431693989071,0.174815744455762,0.153998678122935,0.092051352089593,0.162073490813648,1,1,1,0.0821045576407507
0.297683275150746,0.227452085682074,0.466986794717887,0.816767068273092,0.454849498327759,0.46448087431694,0.182116146503303,0.155981493721084,0.127287626331603,0.0252624671916011,1,1,1,0.117627345844504
0.180577594414472,0.177846674182638,0.26140456182473,0.66741967871486,0.31438127090301,0,0.204645855116533,0.324190350297422,0.13247746517345,0.315616797900262,0,0,0,0.371313672922252
0.235798159314503,0.185456595264938,0.281812725090036,0.696285140562249,0.37123745819398,0,0.212353848770468,0.310641110376735,0.267959573886916,0.128608923884514,0,0,1,0.244638069705094
0.375753728974929,0.255636978579481,0.527611044417767,0.787901606425703,0.25752508361204,0.00546448087431694,0.220155107712037,0.122273628552545,0.256760447965037,0.293963254593176,1,0,1,0.149798927613941
0.356077435734687,0.293404735062007,0.41656662665066,0.720130522088353,0.269230769230769,0.0491803278688525,0.228046124936412,0.288830138797092,0.101065282709642,0.526902887139108,1,1,0,0.173257372654156
0.381148841637575,0.319616685456595,0.231392557022809,0.458584337349398,0.250836120401338,0,0.236023371551316,0.523463317911434,0.238732586724939,0.403543307086614,0,1,0,0.302949061662198
