"TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Rad"
0.346128822381262,0.252655756531726,0.509721322099806,0.837754313674993,0.143835616438356,0.251366120218579,0.0122081381091526,0.0804911323328786,0.181052631578947,0.0290193462308206,1,0,1,0.0227958431109621
0.238451528952505,0.156187194946885,0.340246273493195,0.832603656966263,0.159246575342466,0.00546448087431694,0.0222663042701309,0.144270122783083,0.195789473684211,0.154769846564376,1,0,0,0.0445859872611465
0.105074821080026,0.0401952339936836,0.141607258587168,0.422096317280453,0.279109589041096,0,0.0317124483030861,0.215552523874488,0.145964912280702,0.324883255503669,0,0,0,0.215219577606437
0,0.0556991099626759,0.0696694750486066,0.694823590007726,0.128424657534247,0,0.0352164628868467,0.30968622100955,0.192982456140351,0.276184122748499,0,0,1,0.301709688233322
0.0126870527000651,0.0195233993683606,0.076150356448477,0.67679629152717,0.159246575342466,0.0163934426229508,0.0388955733507729,0.259890859481583,0.289824561403509,0.425950633755837,1,0,0,0.106939322829366
0.148340923877684,0.217915590008613,0.154569021386909,0.636878702034509,0.236301369863014,0,0.0427481132262441,0.413028649386085,0.23859649122807,0.50400266844563,0,1,0,0.294669795507878
0.121990891346779,0.264140109101349,0.130913804277382,0.6819469482359,0.128424657534247,0,0.0467723278677912,0.492837653478854,0.396140350877193,0.172781854569713,0,0,1,0.313778075762655
0.0839297332465842,0,0.154569021386909,0.827453000257533,0.118150684931507,0.0327868852459016,0.0509663754197236,0.154160982264666,0.478245614035088,0.257505003335557,1,0,0,0.0191082802547771
0.141509433962264,0.117427505024404,0.204795852235904,0.831315992789081,0.101027397260274,0,0.055328327882312,0.240791268758527,0.129824561403509,0.295863909272849,0,1,1,0.146161582299698
0.163305139882889,0.150445018662073,0.204795852235904,0.729590522791656,0.280821917808219,0.00546448087431694,0.0598561722792707,0.280013642564802,0.218947368421053,0.26184122748499,1,0,0,0.206168286959437
0.223812621990891,0.210163652024117,0.305249513933895,0.609966520731393,0.287671232876712,0,0.064547811927803,0.245225102319236,0.259298245614035,0.389593062041361,0,1,0,0.231981226952732
0.233246584255042,0.296870513924777,0.27900194426442,0.6819469482359,0.113013698630137,0,0.0694010678119601,0.375852660300136,0.223508771929825,0.387258172114743,0,0,1,0.292323164599397
0.180871828236825,0.229112833763996,0.204795852235904,0.738604172031934,0.116438356164384,0.00546448087431694,0.0744136800594717,0.373465211459754,0.357894736842105,0.154436290860574,1,0,1,0.282266174991619
0.121014964216005,0.144702842377261,0.176604018146468,0.678083955704352,0.219178082191781,0,0.0903838773091834,0.302864938608458,0.167719298245614,0.347231487658439,0,1,1,0.313778075762655
0.33864671437866,0.239161642262417,0.368114063512638,0.715426216842647,0.522260273972603,0.092896174863388,0.107699515875051,0.213506139154161,0.051578947368421,0.2104736490994,1,1,1,0.134763660744217
0.214703968770332,0.165948894631065,0.305249513933895,0.761782127221221,0.366438356164384,0.153005464480874,0.113757911524314,0.192701227830832,0.190877192982456,0.266844563042028,1,1,1,0.0683875293328864
0.206896551724138,0.194946884869365,0.283214517174336,0.662631985578161,0.412671232876712,0.00546448087431694,0.119954884343792,0.250341064120055,0.169473684210526,0.239826551034023,1,1,0,0.146496815286624
0.243656473649967,0.181452770600057,0.294232015554115,0.7115632243111,0.315068493150685,0,0.126287529702309,0.222714870395634,0.228771929824561,0.0987324883255504,0,1,0,0.148843446195106
0.332140533506831,0.225667527993109,0.481205443940376,0.755343806335308,0.297945205479452,0,0.132752882240708,0.0784447476125512,0.200350877192982,0.187791861240827,0,0,1,0.0476030841434797
0.350032530904359,0.258397932816537,0.431626701231367,0.831315992789081,0.14041095890411,0.0163934426229508,0.139347918353193,0.169508867667121,0.0519298245614035,0.194462975316878,1,0,1,0.0781092859537379
0.305139882888744,0.271604938271605,0.440051847051199,0.772083440638681,0.321917808219178,0.0109289617486339,0.146069558736412,0.176330150068213,0.145614035087719,0.177118078719146,1,1,1,0.181025812939993
0.266102797657775,0.206431237438989,0.383344134802333,0.701261910893639,0.523972602739726,0.0546448087431694,0.152914671000842,0.158594815825375,0.152631578947368,0.0627084723148766,1,1,1,0.204827355011733
