"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen15_0001",648,15.7,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen15_0002",731,12,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0003",782,11.5,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0004",718,11.5,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0005",551,11.8,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0006",602,11.9,1,0,0,1,1,1,1,1,1,1,1,1,0
"gen15_0007",849,11.7,1,0,1,1,1,1,1,0,1,1,1,1,0
"gen15_0008",677,11.3,1,1,1,1,1,1,1,0,1,1,1,1,0
"gen15_0009",726,11.2,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen15_0010",632,11.7,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen15_0011",699,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0012",799,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0013",826,11.7,1,0,0,1,1,1,1,1,1,1,0,1,0
"gen15_0014",664,12,1,1,0,1,1,1,1,1,1,0,1,1,0
"gen15_0015",767,11.5,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0016",600,11.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0017",763,-18.1,1,1,0,1,1,1,1,0,1,1,1,1,0
"gen15_0018",830,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0019",766,11.6,1,1,0,1,1,1,0,1,1,1,1,1,0
"gen15_0020",715,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0021",555,19.3,0,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0022",763,11.6,1,1,0,0,1,1,1,1,1,1,1,1,0
"gen15_0023",741,11.5,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen15_0024",772,12,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0025",657,11.9,1,0,1,1,1,1,1,1,0,1,1,1,0
"gen15_0026",622,11.3,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen15_0027",617,11.8,1,1,0,1,1,1,0,1,1,1,1,1,0
"gen15_0028",633,11.8,1,1,0,1,1,1,1,0,1,1,1,1,0
"gen15_0029",679,11.5,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0030",736,7.2,1,1,0,0,1,1,0,1,1,1,1,1,0
"gen15_0031",763,11.8,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen15_0032",688,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0033",682,11.7,1,0,1,1,1,1,1,1,0,1,1,1,0
"gen15_0034",676,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0035",724,11.5,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0036",720,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0037",675,12,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen15_0038",578,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0039",710,11.8,1,1,0,1,1,1,1,1,1,1,0,1,0
"gen15_0040",657,11.6,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0041",765,11.8,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen15_0042",617,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0043",731,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0044",799,11.7,1,0,0,1,1,1,0,1,1,1,0,1,0
"gen15_0045",799,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0046",849,11.7,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen15_0047",759,11.7,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0048",808,11.5,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0049",856,12,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen15_0050",657,-10.6,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0051",692,11.5,1,0,1,1,1,1,1,1,1,1,1,1,0
"gen15_0052",666,11.4,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen15_0053",751,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0054",747,11.9,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0055",654,12,1,1,0,1,0,1,1,1,1,1,1,1,0
"gen15_0056",561,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0057",696,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0
"gen15_0058",751,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0059",661,-20.4,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0060",651,12,1,1,0,1,0,1,1,1,1,1,1,0,1
"gen15_0061",683,11.7,1,1,0,1,0,0,1,1,1,1,1,1,0
"gen15_0062",71,11.6,1,1,1,1,0,1,1,1,1,1,1,1,1
"gen15_0063",617,11.5,1,1,1,1,1,1,1,1,1,1,1,1,0
"gen15_0064",633,11.8,1,1,0,1,1,1,1,1,1,1,1,1,0
