"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen21_0003",822,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0552138169628903,0.0514294740911374,0.0604648309951498,11
"gen21_0053",924,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553012944651776,0.0543037782166529,0.0606797638551618,11
"gen21_0052",901,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553130332286443,0.058516271210977,0.0609868361142543,11
"gen21_0014",892,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553150128296187,0.057152978880972,0.0610463265969741,11
"gen21_0029",799,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553157429537692,0.053927189710588,0.0604338728429865,11
"gen21_0060",769,11.2,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0553276989566495,0.051869197975297,0.0596652801831015,12
"gen21_0016",765,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553300799056441,0.0522967175924232,0.0603489520843331,11
"gen21_0001",929,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553352086523551,0.0550042609290914,0.0604642611541478,11
"gen21_0041",807,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0553470719904655,0.0588260882519864,0.0605712216696954,12
"gen21_0043",763,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553595877341869,0.0549302716617728,0.0603364782982561,11
"gen21_0036",928,11,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0553630315378482,0.0580007856923154,0.0607678140796757,12
"gen21_0064",834,11.4,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553662111629159,0.0557877601554492,0.0605820561381903,11
"gen21_0063",910,11.7,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553719729523235,0.0592401768431053,0.0607334426867535,11
"gen21_0022",851,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0553741769360773,0.0530978077500774,0.0607007424220282,11
"gen21_0039",796,11.6,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554052807195267,0.0561986672769166,0.0602349415691456,12
"gen21_0005",762,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554058562201318,0.0539377307009811,0.0606718887613184,11
"gen21_0024",808,9.7,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554151097850566,0.0466732628572222,0.0600261709957694,12
"gen21_0026",782,11.3,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0554286789808191,0.0518564033893032,0.0603040407139781,11
"gen21_0050",500,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554538253817405,0.044295587319447,0.0599906386593543,11
"gen21_0057",824,11.3,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554595584058755,0.053076699930331,0.0603653319134983,11
"gen21_0010",801,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554740453258636,0.0567506085361929,0.0601292956091034,12
"gen21_0031",801,11.6,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0554773836959998,0.0565954717506612,0.060986760615539,11
"gen21_0004",799,11.3,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554792311738067,0.0564835271749555,0.0600129400469827,12
"gen21_0044",816,11.4,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0554863331756678,0.0598765841886116,0.0606964002193129,12
