"Par1","Par2"
9,14
3,4
16,10
12,3
16,11
9,3
1,13
14,3
4,5
1,16
11,8
1,7
4,10
2,13
8,12
12,6
7,1
15,6
9,7
1,3
9,10
1,6
15,5
12,2
4,3
8,7
8,10
3,13
9,6
1,5
3,7
13,2
6,4
15,1
15,2
5,6
12,16
6,9
7,5
13,10
4,11
1,9
14,16
8,15
15,13
2,13
2,11
14,1
