"Par1","Par2"
7,4
6,10
10,3
1,8
8,1
2,6
9,3
5,13
5,3
6,15
8,11
3,13
15,16
15,12
16,7
4,7
9,2
16,11
15,9
8,7
8,10
6,14
3,14
9,8
16,1
12,4
2,6
13,11
5,6
6,10
2,9
7,9
13,9
15,13
6,9
15,11
12,6
10,11
5,12
2,4
12,13
4,14
1,10
2,8
10,2
4,7
1,10
11,7
