"Gen","Time","MinutesAll","MinutesThis","NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-09 19:06:01",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-09 19:18:56",12.9233596205711,12.9233596205711,"gen0_055",24,0.279133,0,1,0,1,0,1,1,1,1,0,1,0,1,0.054762101646598,0.0461784140355421,0.060724802487833,8
1,"2014-12-09 19:26:25",20.404051788648,7.4873851219813,"gen1_0020",15,0.288672,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0530991749766811,0.0478802651032334,0.0602177702251604,9
2,"2014-12-09 19:35:05",29.0705038547516,8.67050385475159,"gen2_0053",20,0.287653,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0528646917009593,0.0419038724736358,0.0604711030240732,8
3,"2014-12-09 19:42:54",36.8996683359146,7.83300166924795,"gen3_0046",20,0.265925,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525708966502577,0.0502226406394452,0.0604332053532296,9
4,"2014-12-09 19:51:43",45.7160939415296,8.83276060819626,"gen4_0018",8,0.318249,0,1,1,1,1,1,1,1,0,0,0,1,1,0.052671354488905,0.0481565192334233,0.0605256256228412,9
5,"2014-12-09 20:00:16",54.2662157853444,8.56621578534444,"gen5_0058",8,0.306861,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526387341662017,0.0431039076076578,0.0605348791303664,9
6,"2014-12-09 20:07:45",61.7412585775057,7.49125857750575,"gen6_0064",8,0.270377,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525493753617833,0.0486146006471693,0.0604406974679935,9
7,"2014-12-09 20:14:57",68.9381544470787,7.20482111374537,"gen7_0001",8,0.270377,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525493753617833,0.0480600466014401,0.0604406974679935,9
8,"2014-12-09 20:22:10",76.1651692787806,7.23183594544729,"gen8_0062",7,0.306019,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0525951727790776,0.0427095909252477,0.0603317423056396,10
9,"2014-12-09 20:29:38",83.6298944075902,7.47989440759023,"gen9_0011",9,0.301622,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0524864920879242,0.0454863597358635,0.0602865105205539,10
10,"2014-12-09 20:36:01",90.0141446908315,6.39747802416484,"gen10_0020",9,0.308795,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0524537624975958,0.0418061526055745,0.0601855199632076,10
11,"2014-12-09 20:42:13",96.2120729406675,6.21207294066747,"gen11_0051",8,0.257426,0,1,1,1,1,1,1,1,0,0,0,1,1,0.052499624468478,0.0479287724915517,0.0604095747404281,9
12,"2014-12-09 20:48:53",102.875027211507,6.67502721150716,"gen12_0031",9,0.275488,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0524834545767173,0.0459777315387795,0.0602717447207815,10
13,"2014-12-09 20:55:40",109.658178643386,6.7915119767189,"gen13_0002",8,0.257426,0,1,1,1,1,1,1,1,0,0,0,1,1,0.052499624468478,0.0470961127357831,0.0604095747404281,9
14,"2014-12-09 21:02:05",116.083121482531,6.43312148253123,"gen14_0036",8,0.244855,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525197989023633,0.0478325124954755,0.0604255812201577,9
15,"2014-12-09 21:07:59",121.973360200723,5.90669353405635,"gen15_0046",8,0.282021,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525218025242734,0.0522901222584947,0.0604734951713008,9
16,"2014-12-09 21:13:43",127.704040690263,5.73737402359645,"gen16_0040",7,0.283591,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0524958610111658,0.0422548065898254,0.060530299096551,9
17,"2014-12-09 21:20:12",134.197106949488,6.49710694948832,"gen17_0002",8,0.282165,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525143639635983,0.0442304507084863,0.0604419172801096,9
18,"2014-12-09 21:25:51",139.844304200013,5.66097086668015,"gen18_0061",7,0.289458,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0524916355413411,0.0460560266315358,0.0609656422925816,9
19,"2014-12-09 21:30:45",144.744905388355,4.91157205502192,"gen19_0037",8,0.286997,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0524989519516473,0.048892745418592,0.0604627901670193,9
20,"2014-12-09 21:35:21",149.335599684715,4.60226635138194,"gen20_0001",8,0.286997,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0524989519516473,0.0461312416400547,0.0604627901670193,9
