"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen11_0051",8,0.257426,0,1,1,1,1,1,1,1,0,0,0,1,1,0.052499624468478,0.0479287724915517,0.0604095747404281,9
"gen11_0002",8,0.257816,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525084621135798,0.049864096385159,0.0604398955031102,9
"gen11_0052",8,0.286439,0,1,1,1,1,1,1,1,0,0,0,1,1,0.052529437599775,0.0481681082664291,0.0604571748072657,9
"gen11_0050",9,0.286722,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0525315784612585,0.04976324630339,0.0602943967975524,10
"gen11_0033",9,0.301416,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525705756535276,0.0493690648062055,0.0605118922709897,9
"gen11_0042",8,0.28689,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0525719994619542,0.0459243940173259,0.0604689837210528,9
"gen11_0003",16,0.266313,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0526112361140277,0.0485875047916046,0.0600061407767834,10
"gen11_0059",9,0.295515,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0526188704241824,0.0494455917499603,0.0602773959927962,10
"gen11_0025",11,0.262073,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526270751008048,0.0515886602838236,0.0603778836352778,9
"gen11_0047",12,0.29873,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526295485804376,0.049926475230422,0.0604786794598203,9
"gen11_0021",8,0.301962,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0526344163233152,0.0467677961940022,0.0598245895071842,10
"gen11_0007",12,0.299559,0,1,1,1,1,1,1,1,0,0,0,1,1,0.05264602453597,0.0450535500731596,0.0604933703597162,9
"gen11_0031",8,0.293807,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526480003691793,0.0477817265119583,0.0604840643136859,9
"gen11_0040",16,0.254086,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526517394927182,0.0438421521264249,0.0603758627008083,9
"gen11_0008",11,0.245027,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526518904200612,0.0531215243696864,0.0601760459629624,9
"gen11_0037",11,0.291618,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526715910344972,0.042756276184805,0.0602030639061258,9
"gen11_0013",17,0.353267,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0526727853669293,0.047131062239602,0.0603183609366438,10
"gen11_0044",8,0.261478,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0526755164931839,0.0493998036067222,0.0596840401250387,10
"gen11_0029",7,0.262117,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526824207854394,0.0399768968159907,0.0609874706709842,9
"gen11_0053",10,0.297324,0,1,1,1,1,1,1,1,1,0,0,1,1,0.0526851475195524,0.0596791588025287,0.0604055805939837,10
"gen11_0043",9,0.297214,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526885930287952,0.0472160577838597,0.0605551620348089,9
"gen11_0035",18,0.272191,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0526945341417333,0.0475687369067862,0.0604792434971146,9
"gen11_0064",8,0.265916,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0526948138649973,0.0426293452014053,0.0597264215465055,10
"gen11_0027",12,0.2712,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0527066806635278,0.0472159236508635,0.0604241901901462,9
"gen11_0057",7,0.264571,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0527215975074056,0.0488827841385237,0.0602665813741032,10
"gen11_0026",12,0.282513,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0527554266152286,0.047259821273379,0.0604454097888472,9
"gen11_0038",12,0.279818,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0527611107435659,0.048941139827743,0.0604414957524313,9
"gen11_0049",18,0.287922,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0527828161186407,0.0496155862456677,0.060142161001352,10
"gen11_0048",13,0.312353,1,1,1,1,1,1,1,1,0,0,0,1,1,0.0527908041885561,0.0444163202507737,0.0603539591484155,10
"gen11_0023",10,0.277964,0,1,1,1,1,1,1,1,1,0,0,1,1,0.052825298700119,0.0601728941296718,0.0604999570920404,10
"gen11_0001",9,0.308795,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0528323318325797,0.045287513867174,0.0606273601670636,8
"gen11_0054",11,0.297703,0,1,1,1,1,1,1,1,1,0,0,1,1,0.052858854205684,0.0566873658403629,0.0608189503506734,10
"gen11_0011",9,0.299801,0,1,1,1,1,1,1,1,0,0,1,1,1,0.0529331705591627,0.0573811778793724,0.0593273206123441,10
"gen11_0019",5,0.274293,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0529654174558527,0.0349251601819762,0.0601594377161278,9
"gen11_0034",28,0.269184,0,1,1,1,1,1,1,1,0,0,0,1,1,0.0530038653225135,0.0489338207251329,0.0600395792964161,9
"gen11_0010",11,0.271877,0,1,1,1,1,1,1,1,0,1,0,1,1,0.0530836774948169,0.0576926184685502,0.0599140584746386,10
"gen11_0056",11,0.244002,0,1,1,1,1,1,1,1,0,1,0,1,0,0.0531376609488587,0.0500687521640731,0.0601908181795289,9
"gen11_0016",8,0.349075,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0531955501979146,0.033314621127937,0.060457777452898,9
"gen11_0017",11,0.292529,0,1,1,1,1,1,1,1,0,0,0,1,0,0.0532036759193682,0.0340154454881264,0.0604669062181559,8
"gen11_0039",11,0.254879,1,1,1,1,1,1,1,1,0,0,1,1,0,0.0532199805384802,0.0594429137183069,0.0592434674519022,10
"gen11_0020",16,0.345287,1,1,1,1,1,1,1,1,0,0,0,0,1,0.0532345814016427,0.0420903315958799,0.0619787574745233,9
