"NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen3_0001",20,0.287653,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0002",22,0.149602,1,1,1,1,1,1,1,1,0,0,0,1,0
"gen3_0003",7,0.351173,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen3_0004",5,0.292004,0,1,1,1,0,1,1,1,0,1,0,1,1
"gen3_0005",14,0.79464,0,0,1,1,1,1,1,1,0,1,0,1,1
"gen3_0006",6,0.505494,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0007",24,0.393679,1,1,0,1,1,1,0,1,1,0,0,1,0
"gen3_0008",13,0.229211,0,0,1,1,1,1,1,1,1,1,0,1,1
"gen3_0009",9,0.261326,1,1,1,1,1,0,1,1,1,1,0,1,1
"gen3_0010",5,0.274282,0,1,0,1,1,1,1,1,1,1,0,1,1
"gen3_0011",6,0.155221,0,1,1,1,1,1,1,1,0,0,1,0,1
"gen3_0012",24,0.269995,1,1,1,1,0,1,1,1,0,0,0,1,1
"gen3_0013",7,0.353291,1,0,0,1,1,1,1,1,1,1,0,0,1
"gen3_0014",5,0.267934,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen3_0015",15,0.288672,0,1,1,1,1,1,1,1,1,1,1,1,0
"gen3_0016",5,0.335503,0,0,1,1,1,1,1,1,1,1,0,1,1
"gen3_0017",22,0.155135,0,0,1,1,1,1,1,1,0,1,0,0,0
"gen3_0018",15,0.283139,1,1,0,1,1,1,1,1,1,0,1,1,0
"gen3_0019",9,0.155449,0,0,1,1,1,1,1,1,0,0,1,1,1
"gen3_0020",19,0.149374,0,1,1,1,1,1,1,1,0,0,1,1,0
"gen3_0021",6,0.353583,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0022",7,0.503084,1,1,0,1,1,1,1,1,0,0,0,1,1
"gen3_0023",6,0.357585,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen3_0024",7,0.389385,1,1,0,1,1,1,1,1,1,1,0,0,0
"gen3_0025",6,0.28629,1,1,0,1,1,1,1,1,1,0,0,1,1
"gen3_0026",19,0.269297,0,0,1,1,1,0,1,1,0,1,0,1,1
"gen3_0027",9,0.284405,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen3_0028",15,0.265593,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0029",4,0.300631,1,0,1,1,1,1,1,1,0,0,0,1,0
"gen3_0030",23,0.184474,0,0,1,1,0,0,0,1,0,1,0,1,1
"gen3_0031",20,0.193574,1,0,1,1,1,1,1,0,0,0,0,1,0
"gen3_0032",22,0.362825,0,0,1,1,0,1,1,1,0,0,0,1,1
"gen3_0033",16,0.482388,0,1,1,1,1,1,1,1,0,0,1,1,1
"gen3_0034",10,0.310759,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen3_0035",5,0.301402,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0036",24,0.292688,1,1,1,1,0,1,1,1,0,1,0,1,1
"gen3_0037",5,0.314467,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen3_0038",7,0.306758,1,1,0,1,1,1,1,1,1,1,1,1,1
"gen3_0039",7,0.301745,0,1,0,1,1,1,0,1,0,0,0,1,1
"gen3_0040",6,0.204649,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen3_0041",5,0.32734,0,0,1,1,1,1,1,1,0,1,0,1,1
"gen3_0042",14,0.365151,0,1,1,1,1,1,1,1,0,1,0,1,1
"gen3_0043",11,0.282666,0,0,0,1,1,1,1,1,1,1,0,0,1
"gen3_0044",28,0.385755,1,1,0,1,1,1,1,0,0,1,0,1,1
"gen3_0045",19,0.284164,1,0,1,1,1,1,1,0,0,1,1,1,0
"gen3_0046",20,0.265925,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0047",19,0.323042,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen3_0048",12,0.300244,1,1,1,1,0,1,1,0,1,0,0,1,1
"gen3_0049",13,0.818204,1,1,1,1,1,1,1,1,1,0,1,1,0
"gen3_0050",9,0.290553,0,1,0,1,1,1,1,1,1,0,0,1,1
"gen3_0051",5,0.319947,0,0,0,1,1,1,1,1,0,1,0,1,1
"gen3_0052",5,0.30756,0,0,1,1,1,1,1,1,1,1,0,1,1
"gen3_0053",7,0.335155,1,1,1,0,1,1,1,1,1,0,1,1,1
"gen3_0054",8,0.431665,1,1,1,1,1,1,1,1,0,1,0,1,1
"gen3_0055",5,0.287894,0,0,1,1,1,0,1,0,0,1,0,1,1
"gen3_0056",13,0.335262,0,0,1,1,1,1,1,1,0,0,0,1,1
"gen3_0057",27,0.273025,1,1,0,1,1,1,1,1,1,1,0,0,1
"gen3_0058",6,0.3482,1,1,0,1,1,1,1,1,1,1,0,1,1
"gen3_0059",7,0.341927,1,1,0,0,1,1,1,1,1,1,0,1,1
"gen3_0060",5,0.27718,1,0,0,1,1,1,1,1,1,0,0,1,1
"gen3_0061",5,0.272552,1,0,1,1,1,1,1,1,1,1,0,1,0
"gen3_0062",15,0.284054,0,1,0,1,1,1,1,1,1,1,0,1,1
"gen3_0063",6,0.704906,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0064",5,0.342193,1,1,0,1,1,1,1,1,0,1,1,1,1
