"NAMES","Mean.Train.MAE","Mean.Train.RMSE","Mean.Train.MAPE","Mean.Train.MBE","Mean.Valid.MAE","Mean.Valid.RMSE","Mean.Valid.MAPE","Mean.Valid.MBE","Mean.Test.MAE","Mean.Test.RMSE","Mean.Test.MAPE","Mean.Test.MBE","Mean.Size.Model","Mean.Num.Features","Sd.Train.MAE","Sd.Train.RMSE","Sd.Train.MAPE","Sd.Train.MBE","Sd.Valid.MAE","Sd.Valid.RMSE","Sd.Valid.MAPE","Sd.Valid.MBE","Sd.Test.MAE","Sd.Test.RMSE","Sd.Test.MAPE","Sd.Test.MBE","Sd.Size.Model","Sd.Num.Features"
"gen16_0001",0.0553899384113074,0.0798584682810566,Inf,-2.41712495753655e-08,0.059660922073731,0.0865483859198526,Inf,-0.000817150414256917,0.0725728460367629,0.0955435066402152,19.1488691436727,0.0199847970750434,0.051910165940324,10,0.000536422193797772,0.000780337157954343,NA,1.11043069633399e-07,0.00318028117667962,0.00729545456195108,NA,0.0078087281964154,NA,NA,NA,NA,NA,NA
"gen16_0002",0.0552041573364774,0.0795989921089836,Inf,-7.55714510045001e-09,0.0594537854217664,0.0859704250101858,Inf,-0.000411285353646747,0.072346058090016,0.0941668219789233,19.1182123036662,0.0193113732825105,0.0560528592323635,10,0.000490515718511982,0.000759596317032414,NA,1.26530467979332e-07,0.00329663171706584,0.00684736794114266,NA,0.00724067666855685,NA,NA,NA,NA,NA,NA
"gen16_0003",0.0565649115766171,0.0812740197901962,Inf,-8.19249493767078e-08,0.0602997203210827,0.086500916762581,Inf,-0.000273981736817144,0.0703192216350724,0.0905876140981142,18.4225206430144,0.0146545174924863,0.0449541509059995,9,0.000480716252454139,0.000820822731555825,NA,1.04887772535881e-07,0.0028762424203588,0.0065720375318018,NA,0.00730406299539466,NA,NA,NA,NA,NA,NA
"gen16_0004",0.0570369348460972,0.0814006655873583,Inf,-1.34126319110397e-07,0.0609157954590969,0.0874152556637915,Inf,-0.000563429281754095,0.0704104440157763,0.0919629423469326,18.3301369099817,0.0185869970260872,0.047096696189158,9,0.000412384692322934,0.000678473263515791,NA,8.53005717883335e-08,0.00269460331289658,0.00706024421932295,NA,0.00801538916903636,NA,NA,NA,NA,NA,NA
"gen16_0005",0.0551459574768898,0.0795691248451299,Inf,-7.98201485973515e-08,0.0598898379324529,0.0872406108906596,Inf,-0.000789752549398176,0.0712663383489187,0.0926061614902813,18.8938450899115,0.0176754197009254,0.0597669322422928,10,0.00049401989254304,0.000857095941962145,NA,7.06196485742736e-08,0.00358812278812315,0.00913804045815229,NA,0.00768611406919752,NA,NA,NA,NA,NA,NA
"gen16_0006",0.0551880163457576,0.0795673192993103,Inf,-1.74102577778485e-08,0.0600750884100944,0.0875887507483853,Inf,-0.000650175559059716,0.0715757082448136,0.0935637869803098,18.958384944701,0.0179240308820046,0.0627695811547345,10,0.000554521129908296,0.00085861671647666,NA,6.46148428680238e-08,0.00351084279757485,0.00897194413281552,NA,0.00786034173685777,NA,NA,NA,NA,NA,NA
"gen16_0007",0.0565589248000037,0.0814627647013225,Inf,-2.16709673768057e-09,0.0606696686996858,0.0869843793461125,Inf,-0.000276760006850732,0.0729399096384986,0.0926366096199416,19.1776840405254,0.0204085239107941,0.0512723439695681,9,0.000545472909065743,0.000828423764706929,NA,7.17796445983988e-08,0.00338357397392495,0.00643505341160773,NA,0.00755482012233375,NA,NA,NA,NA,NA,NA
"gen16_0008",0.206959340802451,0.235800700154102,Inf,0.0388739564111293,0.207158290583613,0.235902924811569,Inf,0.0388667260793549,0.219204407461582,0.253982492996497,58.628677259987,0.0598946022176067,0.0015239612619666,10,0.00148583170647649,0.00151484771544519,NA,0.00139963874603991,0.0119360836706067,0.0119812487207706,NA,0.0255856558191629,NA,NA,NA,NA,NA,NA
"gen16_0009",0.105521112072835,0.134258700318356,Inf,-2.46586625190288e-08,0.111694987940655,0.143786809827855,Inf,-0.000100491388585333,0.130052677362107,0.165079045640527,32.1085185920062,0.0228039333078233,0.0413795371212873,9,0.000931676175878948,0.00130832098473449,NA,1.22163947523794e-07,0.00806445632350908,0.0123842629259676,NA,0.0108149902797847,NA,NA,NA,NA,NA,NA
"gen16_0010",0.0551455151695672,0.0794941311180817,Inf,-2.58886182887322e-08,0.0598818830497661,0.0869247579242429,Inf,-0.000508184242816615,0.071234772353668,0.0921555148464171,18.7032253678902,0.0182628582601408,0.0545643513570161,10,0.000523556151079264,0.000748922051765903,NA,4.27178218163254e-08,0.00315379164693744,0.00823920156075762,NA,0.00766409739105172,NA,NA,NA,NA,NA,NA
"gen16_0011",0.0430864042402731,0.0637637604035241,Inf,-4.08367035645386e-06,0.0820510149700269,0.141838997455923,Inf,-0.00329290286604478,0.120599652253681,0.586169380848895,30.9391812806188,0.0498177675038371,0.271406251135795,10,0.000655022132928486,0.000892085820339931,NA,1.43486162732344e-05,0.0103945084360565,0.0362932940943002,NA,0.00912751432101809,NA,NA,NA,NA,NA,NA
"gen16_0012",0.0543599758319552,0.0783553082970816,Inf,-2.13786546923804e-08,0.0599278847741101,0.0868808833074813,Inf,-0.000696006504391514,0.0713059614579005,0.0926450037922454,18.9721587941886,0.0186037743353207,0.0719606967340024,10,0.000599425190000241,0.000928451152029024,NA,3.29919726432551e-08,0.0035313479389453,0.00827965989462855,NA,0.00765864821332926,NA,NA,NA,NA,NA,NA
"gen16_0013",0.0552387040313104,0.07961702854451,Inf,-8.72463133396994e-08,0.0596745016242698,0.0868114846500617,Inf,-0.000688545939613648,0.0716205479335883,0.0933228124546628,19.0438147977294,0.0184240395201634,0.0615447396262868,10,0.000478492938441463,0.000790116232700011,NA,1.12100884287926e-07,0.00319963672653386,0.00744837142084608,NA,0.00766591871791589,NA,NA,NA,NA,NA,NA
