"Gen","Time","MinutesAll","MinutesThis","NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-03 14:18:02",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-03 14:43:01",24.984383281072,24.984383281072,"gen0_016",135,14.9,0,0,0,1,1,1,1,1,1,1,0,0,0,0.0652917248054652,0.0486727679775475,0.076746486804736,7
1,"2014-12-03 15:05:11",47.1537102460861,22.1703769127528,"gen1_0022",500,12.1,0,1,1,1,1,1,1,1,0,1,1,0,1,0.0630172940540191,0.109234460552002,0.0767999191310542,10
2,"2014-12-03 15:26:48",68.7740747769674,21.6240747769674,"gen2_0039",865,11.1,1,0,1,1,1,1,1,1,1,1,1,0,0,0.0611872174209587,0.104748596184896,0.0744154748363225,10
3,"2014-12-03 15:47:43",89.694897933801,20.9282312671343,"gen3_0064",762,11.1,1,1,0,1,1,1,1,1,0,1,1,0,0,0.060442666453054,0.0775868694804633,0.0713665382955709,9
4,"2014-12-03 16:15:18",117.270291078091,27.5869577447573,"gen4_0035",756,8,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0597156682273062,0.0507875899774162,0.0718657017083323,10
5,"2014-12-03 16:41:46",143.734467995167,26.4678013285001,"gen5_0001",756,8,1,1,1,1,1,1,1,1,0,1,1,0,0,0.059720481151524,0.0589683795084451,0.0711852362027259,10
6,"2014-12-03 17:12:02",174.002436836561,30.2691035032272,"gen6_0029",575,7.9,1,1,1,1,1,1,1,1,0,1,1,0,0,0.059777583122798,0.047966178086582,0.0714330346568718,10
7,"2014-12-03 17:36:11",198.163781177998,24.1637811779976,"gen7_0004",635,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0595489237786477,0.0547363412797406,0.0718654841746618,10
8,"2014-12-03 18:07:17",229.258220295111,31.1082202951113,"gen8_0025",754,8.1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0594312398979262,0.0553070812469612,0.0719513737436537,10
9,"2014-12-03 18:32:45",254.722215811412,25.4722158114115,"gen9_0037",657,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0596220933572119,0.0604539901671807,0.0722640584405308,10
10,"2014-12-03 19:01:09",283.131339514256,28.4146728475889,"gen10_0001",657,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0595462338443072,0.0549851872493302,0.0718502655062845,10
11,"2014-12-03 19:32:43",314.692685902119,31.576019235452,"gen11_0009",686,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0593965188311656,0.0563063569183106,0.0720766676023381,10
12,"2014-12-03 20:01:50",343.815328307947,29.1319949746132,"gen12_0044",673,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0595099140967512,0.0619032809882052,0.0720943590114974,10
13,"2014-12-03 20:33:48",375.772841521104,31.9728415211042,"gen13_0016",690,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0594196760918306,0.06061529034387,0.0721106710636242,10
14,"2014-12-03 21:03:03",405.031419829528,29.2647531628609,"gen14_0013",664,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0596119362779372,0.0631993162780431,0.071812922132106,10
15,"2014-12-03 21:29:27",431.424774932861,26.4081082661947,"gen15_0046",541,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0594384220357468,0.0554417169179929,0.0722901051209881,10
16,"2014-12-03 21:56:06",458.068562058608,26.6518953919411,"gen16_0002",635,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0594537854217664,0.0560528592323635,0.072346058090016,10
17,"2014-12-03 22:22:18",484.279871249199,26.2132045825322,"gen17_0057",631,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0593116090058652,0.0559231239333869,0.0709344453920611,10
18,"2014-12-03 22:50:19",512.298921076457,28.03225440979,"gen18_0034",604,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0594427686200539,0.0517736974418155,0.0715699004421875,10
19,"2014-12-03 23:18:14",540.213897057374,27.930563724041,"gen19_0058",655,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0594046719171156,0.0568505713903979,0.071852389629471,10
20,"2014-12-03 23:45:20",567.304794859886,27.1047948598862,"gen20_0002",647,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0,0.05953930123866,0.0571529570995103,0.071167400430472,10
