"NAMES","Mean.Train.MAE","Mean.Train.RMSE","Mean.Train.MAPE","Mean.Train.MBE","Mean.Valid.MAE","Mean.Valid.RMSE","Mean.Valid.MAPE","Mean.Valid.MBE","Mean.Test.MAE","Mean.Test.RMSE","Mean.Test.MAPE","Mean.Test.MBE","Mean.Size.Model","Mean.Num.Features","Sd.Train.MAE","Sd.Train.RMSE","Sd.Train.MAPE","Sd.Train.MBE","Sd.Valid.MAE","Sd.Valid.RMSE","Sd.Valid.MAPE","Sd.Valid.MBE","Sd.Test.MAE","Sd.Test.RMSE","Sd.Test.MAPE","Sd.Test.MBE","Sd.Size.Model","Sd.Num.Features"
"gen10_0001",0.0550356986630168,0.0793472540783817,Inf,-5.25914852495421e-08,0.0595462338443072,0.0862694484634486,Inf,-0.000733867432353977,0.0718502655062845,0.0943167259567452,19.0869819726616,0.018478103924559,0.0549851872493302,10,0.000461977074561524,0.000731578293457997,NA,8.95467727542527e-08,0.00335834973041213,0.00733332385499577,NA,0.00747856061779465,NA,NA,NA,NA,NA,NA
"gen10_0002",0.0550859574125799,0.0794253384689477,Inf,-3.9238486726394e-08,0.0596502473424607,0.0862048467618377,Inf,-0.00038179896306812,0.0719361591900139,0.0931288072213748,19.0899124400055,0.0179380875905737,0.0598772598657557,10,0.000495364548552331,0.000779761603642607,NA,1.31813578220317e-07,0.003265579856414,0.0069499649399942,NA,0.0074728205024454,NA,NA,NA,NA,NA,NA
"gen10_0003",0.0554692258068617,0.0798483764348442,Inf,-5.84566175061288e-08,0.0601557980073217,0.0863925933707917,Inf,-0.00054470602504981,0.0721491289148357,0.0931342052274646,19.3333558631705,0.0183502928460875,0.0572915022728816,9,0.000517837879936644,0.00078215415759871,NA,5.3369681200266e-08,0.00309751463151558,0.00625686759512306,NA,0.00751583285503764,NA,NA,NA,NA,NA,NA
"gen10_0004",0.0552095237448977,0.0796691656996936,Inf,-6.76239474453894e-08,0.0596128586987631,0.0865135176824287,Inf,-0.000602776727538182,0.0720099313334251,0.0943670723902493,19.2085488903724,0.0181705159500294,0.0589453399868185,10,0.000500479485368994,0.000701320957975932,NA,8.59877910558717e-08,0.00349905001754471,0.00772047564246746,NA,0.00754655111857733,NA,NA,NA,NA,NA,NA
"gen10_0005",0.0549242818091619,0.0791954273441982,Inf,-5.49343226184071e-08,0.0598714102464236,0.0865361785422697,Inf,-0.000604194247531303,0.0719931724675219,0.0933426059007637,19.0646590082934,0.0192145696730933,0.0626359266906368,10,0.00049961409073717,0.000786325694517779,NA,7.71656523795463e-08,0.00334658086378596,0.00717465079356866,NA,0.00746862495356667,NA,NA,NA,NA,NA,NA
"gen10_0006",0.105287340358856,0.134028275012763,Inf,-1.04212900096811e-07,0.111391863027624,0.143096321869633,Inf,-0.000395171492111517,0.130995224419214,0.16560042642416,32.5174792808314,0.0222228272312055,0.0452343692760125,9,0.0011027617705543,0.00144857552097159,NA,1.88686823443e-07,0.00798563715199304,0.0122807237848185,NA,0.0108657404056345,NA,NA,NA,NA,NA,NA
"gen10_0007",0.0565299494156754,0.081423152509884,Inf,-3.82994456136174e-08,0.0607525467963508,0.0872212515112903,Inf,-0.000352741439215419,0.0745082425776397,0.0952471150207761,19.5197588305445,0.0215807610700564,0.0550970674412557,9,0.000588108942039979,0.000853676448341111,NA,8.917740870406e-08,0.00349449349502013,0.0065520634587026,NA,0.00759741328562709,NA,NA,NA,NA,NA,NA
"gen10_0008",0.0551116676537366,0.0794071830410013,Inf,-5.04266416671049e-08,0.0597406539871543,0.0868780352205653,Inf,-0.000888550376114223,0.0719818420264632,0.0938738768190128,18.902437474742,0.0191934559798227,0.0557252343689099,10,0.000539183492808387,0.000817783020662984,NA,9.74895809887467e-08,0.00350026199700475,0.00847094847734324,NA,0.00773052869217878,NA,NA,NA,NA,NA,NA
"gen10_0009",0.055202176388041,0.0796102664760755,Inf,-2.53093606876742e-08,0.0597907071908129,0.0861239926282612,Inf,-0.000458289138445712,0.0712567759849415,0.0928190810945829,18.6322714564124,0.017680389176953,0.053889346195577,10,0.000596990409663565,0.000904781886692347,NA,7.86908275997042e-08,0.00316196865243067,0.0066925518982972,NA,0.00720575655371458,NA,NA,NA,NA,NA,NA
"gen10_0010",0.0561403648923914,0.0805244167343008,Inf,-4.67483529968171e-08,0.0607428020711001,0.0898549096816901,Inf,-0.00127005901413465,0.0700871083974289,0.090304767587319,18.6528228361715,0.0157873706848455,0.0531515198771036,9,0.00042275721374711,0.000604928845205265,NA,9.60204716999389e-08,0.00370886018656807,0.0139632442931521,NA,0.00863656268075929,NA,NA,NA,NA,NA,NA
