"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen2_0039",865,11.1,1,0,1,1,1,1,1,1,1,1,1,0,0,0.0611872174209587,0.104748596184896,0.0744154748363225,10
"gen2_0053",738,10,0,1,1,1,1,0,1,1,1,1,1,0,0,0.0618798306325602,0.0718519652947884,0.0739899567022258,9
"gen2_0048",440,11.6,0,0,0,1,1,1,1,1,0,1,1,0,0,0.0619664413448593,0.0536393982330574,0.0775148598342478,7
"gen2_0020",137,10.9,1,1,0,1,0,1,1,1,0,1,1,0,0,0.0626053171352966,0.0381214976630099,0.075808719448368,8
"gen2_0044",413,8.3,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0629621295414208,0.0407501507831287,0.0766624342624924,8
"gen2_0060",851,12.4,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0630896188202383,0.098240232955997,0.0747604789103555,10
"gen2_0005",712,13.7,0,1,0,1,1,1,1,1,0,0,0,0,0,0.0630917500895842,0.0549090174739815,0.0788896151190838,6
"gen2_0027",277,8.1,1,1,0,1,0,1,1,1,0,1,1,0,1,0.0631291727421453,0.0435927272679457,0.0778068143135315,9
"gen2_0018",160,11.6,0,1,0,1,0,1,1,1,0,1,0,0,0,0.0633591679082784,0.0295358098206868,0.0789969198178592,6
"gen2_0042",141,7.7,1,0,1,1,1,1,1,1,1,1,1,0,0,0.0635596473898449,0.0310688782314717,0.076718601132248,10
"gen2_0001",500,12.1,0,1,1,1,1,1,1,1,0,1,1,0,1,0.063573148709869,0.108518907441582,0.0758107457547921,10
"gen2_0045",440,8.2,0,0,0,1,1,1,1,1,0,1,0,1,1,0.0636646982576282,0.0501722769476677,0.080670218529085,8
"gen2_0007",349,16,1,1,0,1,0,1,1,1,0,0,1,0,0,0.0640345853373166,0.0704166083379754,0.0802182814528781,7
"gen2_0002",746,4.7,1,1,0,1,0,1,1,1,1,1,1,0,0,0.064063017825028,0.0331132080191393,0.0791233914633737,9
"gen2_0004",135,14.9,0,0,0,1,1,1,1,1,1,1,0,0,0,0.0640709557629842,0.0514444338820663,0.0780557810626087,7
"gen2_0050",872,8,1,1,1,0,1,0,1,0,1,0,1,0,1,0.0641906579199312,0.0564644527404762,0.0706577597961835,8
"gen2_0051",318,11.4,1,0,1,1,0,1,1,1,1,1,0,1,1,0.0642887918556566,0.0915205437150585,0.083307829537337,10
"gen2_0054",641,12,1,1,0,1,1,0,1,1,0,1,0,0,1,0.0643452696201097,0.0782142737967658,0.073952515496007,8
"gen2_0057",484,16.8,0,1,0,1,0,1,1,1,0,1,0,0,0,0.0644228736097735,0.0643686286750821,0.087833616047509,6
"gen2_0003",879,6.7,1,1,0,1,1,0,1,1,1,1,0,0,1,0.064625056888193,0.0521567471832114,0.0753182377572684,9
"gen2_0062",225,8.8,0,0,1,0,0,1,1,1,1,1,1,1,0,0.0647200647752264,0.0397894361839131,0.0768191187731071,8
"gen2_0036",429,5.5,1,0,1,1,0,1,1,1,1,1,0,0,0,0.0651380997004182,0.0204082253284688,0.0807244742804209,8
"gen2_0056",920,12.2,1,0,1,0,0,1,1,1,0,0,0,0,0,0.0654047716718476,0.0249711464263537,0.0756236742598469,5
"gen2_0012",364,16.2,1,1,1,1,1,1,1,1,0,1,0,1,0,0.0655030292572381,0.135309080700067,0.0840575850802072,10
"gen2_0031",437,17.7,0,0,0,1,1,1,1,1,1,1,0,0,0,0.0657495494914459,0.102628877658137,0.102730599233705,7
"gen2_0025",598,7.6,0,0,1,0,0,1,1,1,1,0,1,0,0,0.0659819515188458,0.0233145986208033,0.0755123364236168,6
"gen2_0029",414,9.4,1,1,0,1,0,1,1,0,0,1,1,0,0,0.0663887680233154,0.0368503516610431,0.0814233003439054,7
"gen2_0008",278,9.7,1,1,0,1,0,1,1,0,0,1,1,0,0,0.0663930414954957,0.0346552074014141,0.0813002896141697,7
"gen2_0024",229,12.8,1,1,0,0,1,1,1,0,0,1,1,0,0,0.0664309586693245,0.051834176947989,0.07682769806393,7
"gen2_0047",317,14.6,1,1,0,1,0,1,1,0,0,1,0,0,0,0.0664887342561719,0.0527187418215504,0.0869079459545055,6
"gen2_0037",329,8.8,1,1,0,1,0,1,1,0,0,1,1,0,0,0.0665415707565524,0.0357945373965193,0.0817793261169924,7
"gen2_0009",966,11.4,1,0,1,0,0,0,1,0,0,0,1,1,0,0.066547454097009,0.0317391674994356,0.075057975360656,5
"gen2_0038",254,9,1,1,0,1,0,1,1,0,0,1,1,0,0,0.0666781400577868,0.0292687408306945,0.0812487387036515,7
"gen2_0063",271,9.5,1,1,0,1,0,1,1,0,0,1,1,0,0,0.0667224535407265,0.0346437350073415,0.0816949536472113,7
"gen2_0010",419,7.8,1,1,0,1,0,1,1,0,1,1,1,0,0,0.066743224720379,0.0398380848297862,0.0815729783344293,8
"gen2_0006",38,12.7,0,1,0,0,1,0,1,1,1,0,1,0,1,0.0667813840634347,0.0202988092780295,0.0766121441939989,7
"gen2_0011",234,8.1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.0668186730254494,0.0319037409252234,0.0819732564414931,8
"gen2_0041",417,10.9,0,0,0,0,0,1,1,1,1,0,0,1,0,0.0669387640133156,0.0266389519210212,0.0773577707671541,5
"gen2_0033",296,11.8,1,1,0,0,0,1,1,0,0,1,1,0,0,0.0670040493915357,0.0306678343226977,0.0792297038640747,6
"gen2_0043",141,14.4,1,1,0,1,0,1,1,0,0,1,1,0,1,0.067011171094268,0.0647967792948003,0.0821845933236711,8
"gen2_0064",175,8,1,1,0,1,0,1,1,0,0,1,1,0,0,0.0672401508530529,0.0218727776007266,0.0821758396529487,7
"gen2_0015",423,3.7,1,0,1,0,0,1,1,1,1,0,1,1,0,0.0672431608683962,0.016633314316283,0.0782691761429807,8
"gen2_0028",235,9.7,1,1,0,1,0,1,1,0,0,1,0,0,0,0.0672620416879083,0.0252408865531909,0.0869856877577799,6
"gen2_0013",974,0.4,1,0,1,1,1,0,1,1,1,1,1,0,1,0.0674057852895946,0.0204754622022685,0.0772517216726547,10
"gen2_0049",973,10.1,1,0,0,1,0,0,1,1,0,1,0,1,0,0.0674777687580252,0.0399614066595261,0.0821992049866175,6
"gen2_0040",661,13.8,0,1,1,1,1,0,1,1,1,1,0,0,1,0.0675137164675326,0.106645936215736,0.0798149361894816,9
"gen2_0021",531,12.3,1,1,0,1,0,1,1,0,0,0,1,0,0,0.0676834996902079,0.0338413633298328,0.0811201265547657,6
"gen2_0026",748,14.3,1,0,1,1,1,1,1,1,1,1,0,1,0,0.0677815074828281,0.157016694888547,0.0857297860503829,10
"gen2_0022",600,9.2,0,1,0,1,0,0,1,1,0,0,0,1,0,0.0686960509012941,0.0210894640146092,0.0800608082408884,5
"gen2_0034",20,10.6,0,1,0,1,1,0,1,1,0,1,1,0,1,0.0690773375570774,0.00484712544121953,0.0825303451113359,8
"gen2_0061",333,3.3,1,0,0,1,1,1,1,1,1,0,0,0,0,0.0692691798729784,0.012639656569404,0.0824814605900597,7
"gen2_0017",253,13,1,0,0,1,1,1,1,0,1,1,1,0,0,0.0728951693829532,0.0696710584115159,0.09185206242846,8
"gen2_0058",575,-2.6,0,0,1,1,1,1,1,0,1,1,1,0,0,0.0732454035754896,0.00879704181771112,0.091307476093044,8
"gen2_0046",778,16.2,1,1,1,1,1,1,1,0,1,1,1,1,0,0.0732921268488706,0.237984573849813,0.0923561102846457,11
"gen2_0052",900,13,0,1,0,1,0,1,1,0,1,1,1,1,0,0.0739112871971712,0.0965329619812544,0.0904926171368601,8
"gen2_0023",158,11.2,0,1,0,1,0,0,1,0,0,1,1,0,1,0.0743924349220113,0.0341921342200687,0.090248124453219,6
"gen2_0055",181,14.1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.0749396232787113,0.0416156522120102,0.090211495128752,6
"gen2_0059",675,20.9,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0771062991433085,0.216538661672618,0.0929177624340947,8
"gen2_0019",825,11,0,1,0,1,1,0,1,0,0,0,1,1,0,0.0786776618251115,0.0509910686504737,0.094508332094985,6
"gen2_0016",647,18.2,0,0,1,1,1,1,1,0,1,1,0,0,0,0.079058754019467,0.116181666154954,0.129224417675231,7
"gen2_0014",854,17.2,1,1,0,1,0,1,1,0,0,1,1,1,1,0.0794722531910052,0.198166201125269,0.102661301175833,9
"gen2_0030",283,8.1,1,1,0,1,0,1,0,0,0,1,1,0,0,0.128611853506063,0.0162950396821531,0.164151627849984,6
"gen2_0035",724,-4.8,0,0,1,0,0,1,0,1,1,0,1,1,0,0.144021127302616,0.0056072397516126,0.169346799515959,6
"gen2_0032",345,-20.5,0,0,1,1,1,1,0,0,1,1,0,0,0,0.522481911264512,0.00075969128699046,0.54114928048135,6
