"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen11_0001",657,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0002",635,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0003",658,8.6,1,0,1,1,1,1,1,1,0,0,1,0,0
"gen11_0004",649,8.5,1,0,1,1,1,1,1,1,0,1,1,0,0
"gen11_0005",704,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0006",632,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0007",612,-6.7,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen11_0008",650,8.5,0,1,1,0,1,1,1,0,0,1,1,0,0
"gen11_0009",686,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0010",606,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0011",634,8.3,1,0,1,1,1,1,1,1,0,1,1,0,0
"gen11_0012",736,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0013",743,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0014",673,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0015",653,8.2,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen11_0016",667,9,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0017",606,8.6,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen11_0018",653,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0019",704,8.4,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen11_0020",673,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0021",680,8.5,1,1,1,1,1,1,1,0,0,1,1,0,0
"gen11_0022",870,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0023",688,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0024",673,8.6,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen11_0025",633,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0026",706,8.4,1,1,1,1,1,0,1,1,0,1,1,0,0
"gen11_0027",681,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0028",678,8.3,1,1,0,1,1,1,1,1,1,1,1,0,0
"gen11_0029",645,8.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0030",676,8.5,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0031",692,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0032",678,8.3,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen11_0033",658,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0034",818,8.5,1,1,1,1,1,0,1,1,0,1,1,0,0
"gen11_0035",652,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0036",656,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0037",671,9.2,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0038",627,8.6,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0039",685,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0040",674,8.3,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0041",721,8.4,1,0,1,1,1,1,1,1,0,1,1,0,0
"gen11_0042",671,8.5,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen11_0043",616,9.1,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0044",645,8.7,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen11_0045",733,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0046",660,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0047",661,8.8,1,1,1,1,1,1,1,1,0,0,1,0,0
"gen11_0048",664,8.8,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0049",651,-16.4,1,1,1,1,1,1,1,1,1,1,1,0,0
"gen11_0050",669,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0051",636,8.8,1,1,1,1,1,1,0,1,0,1,1,0,1
"gen11_0052",626,9,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0053",658,8.3,1,1,1,1,1,1,1,1,0,1,1,1,0
"gen11_0054",665,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0055",651,8.5,1,1,1,1,1,1,0,1,0,1,1,0,0
"gen11_0056",656,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0057",657,8.9,0,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0058",663,8.3,1,1,1,1,1,1,0,1,0,1,1,0,0
"gen11_0059",646,8.6,1,1,1,1,1,1,1,0,0,1,1,0,0
"gen11_0060",653,9,1,1,1,0,1,1,1,1,0,1,1,0,0
"gen11_0061",712,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0062",710,8.4,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0063",636,9.1,1,1,1,1,1,1,1,1,0,1,1,0,0
"gen11_0064",985,8.5,1,1,1,1,1,1,1,1,0,1,1,0,0
