"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen16_0001",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0687173404654109,0.0628762387600434,10
"gen16_0002",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.065716911697076,0.0628762387600434,10
"gen16_0004",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0773076655461059,0.0628762387600434,10
"gen16_0022",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0675220783012674,0.0628762387600434,10
"gen16_0046",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0647864942819803,0.0628762387600434,10
"gen16_0047",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0622072969313657,0.0628762387600434,10
"gen16_0005",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0578768475298056,0.0668183432141969,10
"gen16_0007",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0585596793602771,0.0668183432141969,10
"gen16_0008",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0688675924357882,0.0668183432141969,10
"gen16_0009",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0781371347252975,0.0668183432141969,10
"gen16_0010",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0651749180538799,0.0668183432141969,10
"gen16_0011",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.062635916531556,0.0668183432141969,10
"gen16_0012",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0650355461901402,0.0668183432141969,10
"gen16_0013",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0700288112109164,0.0668183432141969,10
"gen16_0017",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0817449880680815,0.0668183432141969,10
"gen16_0018",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0809632482673511,0.0668183432141969,10
"gen16_0019",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0770329281327299,0.0668183432141969,10
