"Gen","Time","MinutesAll","MinutesThis","NAMES","M_par","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-11 12:24:43",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-11 12:26:09",1.43785455226898,1.43785455226898,"gen0_006",20,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0577621329439461,0.0573134599886659,0.0647034664017431,7
1,"2014-12-11 12:27:36",2.89877479871114,1.46544146537781,"gen1_0024",6,0,1,1,1,0,0,1,1,1,1,1,1,0,0.057047018168422,0.0492436963622888,0.0620948885101767,9
2,"2014-12-11 12:29:07",4.40270111560821,1.51936778227488,"gen2_0001",6,0,1,1,1,0,0,1,1,1,1,1,1,0,0.057047018168422,0.0557110876979673,0.0620948885101767,9
3,"2014-12-11 12:30:37",5.91309441725413,1.51309441725413,"gen3_0043",8,1,1,1,1,0,0,1,1,0,1,0,0,1,0.0569250640064808,0.0671533972257814,0.0654426822907375,8
4,"2014-12-11 12:32:10",7.46614402929942,1.56614402929942,"gen4_0051",12,0,1,1,1,0,0,1,1,0,1,0,1,1,0.0567306282088764,0.0498672705989886,0.0642602603202521,8
5,"2014-12-11 12:33:42",8.987779601415,1.537779601415,"gen5_0034",12,0,1,1,1,0,0,1,1,0,1,0,1,1,0.0567306282088764,0.0572666313587816,0.0642602603202521,8
6,"2014-12-11 12:35:12",10.4840276638667,1.50069433053335,"gen6_0004",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0574075234395564,0.0668183432141969,10
7,"2014-12-11 12:36:43",12.0024064580599,1.51907312472661,"gen7_0002",8,1,1,1,1,0,0,1,1,0,1,0,1,1,0.0565219709998373,0.0550540667508766,0.0660109637389807,9
8,"2014-12-11 12:38:14",13.5182407061259,1.5182407061259,"gen8_0051",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0769929965163717,0.0668183432141969,10
9,"2014-12-11 12:39:45",15.041372303168,1.52470563650131,"gen9_0001",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0656758500900525,0.0668183432141969,10
10,"2014-12-11 12:41:19",16.6107498288155,1.57741649548213,"gen10_0043",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0648423602839258,0.0668183432141969,10
11,"2014-12-11 12:42:54",18.185583670934,1.58558367093404,"gen11_0038",11,1,1,1,1,0,0,1,1,1,1,0,1,1,0.056442232809154,0.0645740383316177,0.0668183432141969,10
12,"2014-12-11 12:44:26",19.724002234141,1.5406689008077,"gen12_0051",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.070100894489341,0.0628762387600434,10
13,"2014-12-11 12:45:58",21.2627945780754,1.54612791140874,"gen13_0047",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0703122551951416,0.0628762387600434,10
14,"2014-12-11 12:47:32",22.8250515381495,1.57505153814952,"gen14_0001",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0614325465311128,0.0628762387600434,10
15,"2014-12-11 12:49:05",24.3687759518623,1.55210928519567,"gen15_0002",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0707975182623181,0.0628762387600434,10
16,"2014-12-11 12:50:38",25.9196562925975,1.55298962593079,"gen16_0001",15,1,1,1,1,0,0,1,1,1,1,0,1,1,0.0564242182544271,0.0687173404654109,0.0628762387600434,10
17,"2014-12-11 12:52:09",27.4382921854655,1.52162551879883,"gen17_0018",15,1,1,1,1,0,0,1,1,1,1,0,0,1,0.0563810680333274,0.0598830371692188,0.0626901153805364,9
18,"2014-12-11 12:53:38",28.9291004737218,1.49576714038849,"gen18_0045",15,1,1,1,1,0,0,1,1,1,1,0,0,1,0.0563810680333274,0.0645768548727541,0.0626901153805364,9
19,"2014-12-11 12:55:09",30.4368148287137,1.52014816204707,"gen19_0001",15,1,1,1,1,0,0,1,1,1,1,0,0,1,0.0563810680333274,0.0664549113763412,0.0626901153805364,9
20,"2014-12-11 12:56:38",31.9199683348338,1.48663500150045,"gen20_0001",15,1,1,1,1,0,0,1,1,1,1,0,0,1,0.0563810680333274,0.0603263679978693,0.0626901153805364,9
