"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen4_0001",8,1,1,1,1,0,0,1,1,0,1,0,0,1
"gen4_0002",6,0,1,1,1,0,0,1,1,1,1,1,1,0
"gen4_0003",22,0,1,1,1,0,0,1,1,1,0,1,0,1
"gen4_0004",7,0,1,1,1,0,0,1,1,0,1,0,1,1
"gen4_0005",12,1,1,1,1,1,0,1,1,0,1,0,1,1
"gen4_0006",6,1,1,1,1,0,1,1,1,0,0,0,1,1
"gen4_0007",6,1,1,0,1,1,0,1,1,0,1,0,1,1
"gen4_0008",9,0,1,1,1,0,0,1,1,1,0,0,1,1
"gen4_0009",11,1,1,1,1,0,1,1,1,0,0,1,1,1
"gen4_0010",14,1,0,1,1,0,0,1,1,0,1,0,0,1
"gen4_0011",12,1,1,0,1,1,0,1,1,0,1,0,0,1
"gen4_0012",6,1,1,1,1,0,0,1,1,0,0,0,0,1
"gen4_0013",12,0,1,1,1,0,0,1,1,0,0,0,1,1
"gen4_0014",4,1,1,1,1,0,1,1,1,0,1,0,1,0
"gen4_0015",12,1,0,0,1,1,0,1,1,0,1,0,0,1
"gen4_0016",13,1,0,1,1,0,0,1,1,0,1,1,1,1
"gen4_0017",6,1,1,1,1,0,0,1,1,0,1,0,1,1
"gen4_0018",7,0,1,1,1,0,0,1,1,0,0,0,0,1
"gen4_0019",12,0,1,1,1,0,0,1,1,0,0,0,1,1
"gen4_0020",13,1,0,1,1,0,0,1,1,0,1,1,1,1
"gen4_0021",5,1,1,1,1,0,1,1,1,0,0,0,1,0
"gen4_0022",5,1,1,1,1,0,0,1,1,0,1,0,0,1
"gen4_0023",12,0,1,0,1,0,0,1,1,0,1,0,1,1
"gen4_0024",7,1,1,1,1,1,0,1,1,0,1,0,0,1
"gen4_0025",12,1,1,1,1,0,0,1,1,0,1,0,1,1
"gen4_0026",8,1,1,1,1,1,0,1,1,0,1,0,0,1
"gen4_0027",4,0,1,1,1,0,0,1,1,0,1,1,1,0
"gen4_0028",6,1,1,1,1,0,1,1,1,1,1,0,1,0
"gen4_0029",14,0,1,1,1,0,0,1,1,0,0,1,1,1
"gen4_0030",15,0,1,1,1,0,0,1,1,1,1,0,0,1
"gen4_0031",4,1,1,1,1,0,1,1,1,0,1,0,1,0
"gen4_0032",11,1,1,1,1,0,1,1,1,0,0,1,1,1
"gen4_0033",6,1,1,1,1,1,0,1,1,0,1,0,1,1
"gen4_0034",12,0,1,0,1,0,0,1,1,0,0,0,1,1
"gen4_0035",12,1,0,1,1,0,0,1,1,0,1,0,1,1
"gen4_0036",11,1,1,0,1,1,1,1,1,0,0,1,0,1
"gen4_0037",8,1,1,0,1,1,0,1,1,0,0,0,0,1
"gen4_0038",10,1,0,1,1,0,0,1,1,0,1,0,0,1
"gen4_0039",13,1,0,1,1,0,0,1,1,0,1,1,1,1
"gen4_0040",12,0,1,1,1,0,0,1,1,0,0,0,1,1
"gen4_0041",12,1,1,0,1,1,0,1,1,0,1,0,0,1
"gen4_0042",12,0,0,1,1,0,0,1,1,0,0,0,1,1
"gen4_0043",12,0,1,1,1,0,0,1,1,0,0,0,1,1
"gen4_0044",11,1,1,1,1,0,1,1,1,0,0,1,1,1
"gen4_0045",10,1,0,1,1,0,0,1,1,0,1,1,1,1
"gen4_0046",11,1,1,1,1,0,0,1,1,0,1,0,0,1
"gen4_0047",12,1,1,0,1,1,0,1,1,0,1,0,0,1
"gen4_0048",12,1,0,1,1,1,0,1,1,0,1,0,1,1
"gen4_0049",6,1,1,1,1,0,0,1,1,0,1,1,1,0
"gen4_0050",11,0,1,1,1,0,1,1,1,1,0,1,1,1
"gen4_0051",12,0,0,1,1,0,0,1,1,0,1,0,1,1
"gen4_0052",7,1,1,0,1,1,0,1,1,0,1,0,0,1
"gen4_0053",22,1,1,0,1,1,0,1,1,0,0,1,0,1
"gen4_0054",12,0,1,1,1,0,0,1,1,1,1,0,0,1
"gen4_0055",6,1,1,0,1,0,0,1,1,0,1,0,0,1
"gen4_0056",12,1,0,1,1,1,1,1,1,0,0,0,1,1
"gen4_0057",11,1,1,1,1,1,0,1,1,0,1,0,1,1
"gen4_0058",7,1,1,0,1,1,0,1,1,0,1,0,1,1
"gen4_0059",12,1,1,1,1,0,0,1,1,0,0,0,1,1
"gen4_0060",12,0,1,1,1,1,0,1,1,0,1,0,1,1
"gen4_0061",7,1,1,0,1,0,0,1,1,0,1,0,0,0
"gen4_0062",11,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen4_0063",12,1,1,1,1,0,0,1,1,0,0,0,1,1
"gen4_0064",8,0,1,1,1,0,0,1,1,0,1,0,0,1
