"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen2_0038",13,0,0,0,1,1,1,1,1,0,1,0,0,0,0.0665673727302804,0.0575341774781662,0.0814984665647253,6
"gen2_0048",10,1,0,0,1,1,0,1,1,1,1,1,0,0,0.0668539092154138,0.0604614960707431,0.0778341770139944,8
"gen2_0057",17,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0670132647700939,0.0584014254847467,0.0799245239288155,10
"gen2_0001",7,0,0,0,0,1,1,1,1,1,1,0,0,0,0.0670358073367535,0.0393880313097856,0.0784491977217658,6
"gen2_0015",11,1,0,0,1,1,0,1,1,0,0,1,0,0,0.067045934674957,0.053179953383951,0.077669591902738,6
"gen2_0019",14,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0672611700309238,0.0543068190337656,0.0786467163872615,12
"gen2_0050",18,1,0,0,1,1,1,1,1,0,1,0,1,0,0.0673630114916705,0.0562958012999694,0.0799541150700518,8
"gen2_0043",16,0,0,0,1,1,1,1,1,1,1,1,1,1,0.0674312859832661,0.0550790755933431,0.0812013981321759,10
"gen2_0032",16,0,1,1,0,1,0,1,1,0,1,1,1,1,0.0674405764879895,0.0425703334704852,0.0745470804485087,9
"gen2_0046",10,1,0,0,1,1,1,1,1,0,0,1,0,0,0.0674849189249711,0.0430008354854729,0.0785895978252448,7
"gen2_0033",16,1,0,0,1,1,0,1,1,0,0,1,0,0,0.0675674354228944,0.0570099031049971,0.0759741759825845,6
"gen2_0003",9,1,0,0,0,1,1,1,1,1,1,1,0,0,0.0676804589353114,0.0513125429845071,0.0786895010132574,8
"gen2_0052",7,1,0,0,0,1,1,1,1,1,1,1,0,0,0.0677562321285116,0.0383899556909511,0.102724248326657,8
"gen2_0035",17,1,0,0,1,1,0,1,1,1,0,1,0,1,0.0677726446825634,0.0504288642662547,0.0771757472107112,8
"gen2_0063",15,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0677798268126792,0.06378296611561,0.0787581749450206,10
"gen2_0006",14,0,1,1,0,1,0,1,1,0,1,1,0,1,0.0678633782076926,0.0418767863712087,0.0750438333925723,8
"gen2_0055",5,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0681368724239796,0.0315935324257514,0.0766233155279589,11
"gen2_0009",18,0,0,0,1,1,0,1,1,0,0,1,1,1,0.0681646815887457,0.0421352038231299,0.0769651662620424,7
"gen2_0017",16,0,0,0,1,1,1,1,1,0,0,0,0,1,0.0682245658515337,0.0438903819763031,0.0810688917110934,6
"gen2_0021",14,1,0,0,1,1,1,1,1,0,0,1,0,0,0.0682997006123803,0.0581629029935816,0.0791385024784032,7
"gen2_0064",6,0,0,0,0,1,0,1,1,0,0,1,1,1,0.0683154767342489,0.0483491057456523,0.0755176274468294,6
"gen2_0059",7,1,0,0,1,0,0,1,1,1,1,1,1,0,0.0683209684963144,0.0323122152792194,0.0819537468149104,8
"gen2_0011",17,0,0,0,1,1,0,1,1,1,0,1,1,1,0.0684064131696527,0.04123319132964,0.0770083583348121,8
"gen2_0037",8,0,1,1,0,1,1,1,1,1,1,1,0,1,0.0684218588916781,0.0411249427933158,0.0784792229363409,10
"gen2_0060",11,0,0,0,0,1,1,1,1,0,0,1,0,0,0.0684452994130061,0.0356374904447167,0.0773470175386342,5
"gen2_0012",24,0,1,1,1,1,1,1,1,0,1,0,1,1,0.0684949471538189,0.0493471409969213,0.0807180872536253,10
