"Gen","Time","MinutesAll","MinutesThis","NAMES","M_par","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-11 12:56:43",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-11 12:58:11",1.4802289446195,1.4802289446195,"gen0_016",5,0,0,0,0,1,1,1,1,1,1,1,0,0,0.0681424220711569,0.0314745947078378,0.0784483590748556,7
1,"2014-12-11 12:59:39",2.94947670300802,1.48281003634135,"gen1_0041",7,0,0,0,0,1,1,1,1,1,1,0,0,0,0.0670358073367535,0.0494565296336268,0.0784491977217658,6
2,"2014-12-11 13:01:11",4.47409422794978,1.54076089461644,"gen2_0038",13,0,0,0,1,1,1,1,1,0,1,0,0,0,0.0665673727302804,0.0575341774781662,0.0814984665647253,6
3,"2014-12-11 13:02:42",5.98566224575043,1.51899557908376,"gen3_0021",7,0,0,0,1,1,1,1,1,0,1,0,0,0,0.0662244536758781,0.0316317511138724,0.0800571232654633,6
4,"2014-12-11 13:04:12",7.4873513062795,1.50401797294617,"gen4_0001",7,0,0,0,1,1,1,1,1,0,1,0,0,0,0.0662244536758781,0.0482418738555968,0.0800571232654633,6
5,"2014-12-11 13:05:44",9.02154914140701,1.53821580807368,"gen5_0024",8,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0664430459756179,0.0442695638331014,0.0799611958440794,7
6,"2014-12-11 13:07:14",10.5256889382998,1.50902227163315,"gen6_0001",8,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0664430459756179,0.048562531832298,0.0799611958440794,7
7,"2014-12-11 13:08:42",11.9989134669304,1.48224680026372,"gen7_0019",8,0,0,0,1,1,1,1,1,0,1,1,0,0,0.066224453675878,0.0444097386128189,0.0800571232654637,7
8,"2014-12-11 13:10:12",13.4995785395304,1.5162452061971,"gen8_0064",6,0,0,1,1,1,1,1,1,1,1,0,1,1,0.0661756557129786,0.0654458992724419,0.0775714110462015,10
9,"2014-12-11 13:11:44",15.0175289392471,1.5341956059138,"gen9_0001",6,0,0,1,1,1,1,1,1,1,1,0,1,1,0.0661756557129786,0.067837136168276,0.0775714110462015,10
10,"2014-12-11 13:13:16",16.5556249221166,1.53895825544993,"gen10_0053",8,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0662089344690802,0.0441889965354473,0.0794875945952123,8
11,"2014-12-11 13:14:49",18.1124749620756,1.56247496207555,"gen11_0001",8,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0662089344690802,0.0452893666330946,0.0794875945952123,8
12,"2014-12-11 13:16:22",19.6528149724007,1.55281497240067,"gen12_0060",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0557600575418459,0.0794875945952123,8
13,"2014-12-11 13:17:55",21.2124216715495,1.56242167154948,"gen13_0001",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0568635190433592,0.0794875945952123,8
14,"2014-12-11 13:19:29",22.7785521507263,1.57855215072632,"gen14_0001",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.047684494104966,0.0794875945952123,8
15,"2014-12-11 13:21:04",24.3656849463781,1.59901827971141,"gen15_0003",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0382382355667535,0.0794875945952123,8
16,"2014-12-11 13:22:40",25.959098982811,1.60909898281097,"gen16_0001",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0535807526475113,0.0794875945952123,8
17,"2014-12-11 13:24:15",27.5470458587011,1.59704585870107,"gen17_0001",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0479413043291552,0.0794875945952123,8
18,"2014-12-11 13:25:51",29.1447180986404,1.61138476530711,"gen18_0002",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.046458945797844,0.0794875945952123,8
19,"2014-12-11 13:27:28",30.760868148009,1.62753481467565,"gen19_0001",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0497510856251433,0.0794875945952123,8
20,"2014-12-11 13:29:04",32.3636639038722,1.61366390387217,"gen20_0002",7,0,0,0,1,1,1,1,1,1,1,1,0,0,0.0658248291090747,0.0539313492521144,0.0794875945952123,8
