"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen2_0002",0.104137,0.100761,0.176395,0,0,0,0,1,0,1,1,1,1,1,0,0,0.062704082435607,0.0722152132400053,0.0719976800279799,6
"gen2_0049",-0.138112,0.043646,0.155744,0,0,1,1,0,0,1,1,1,0,1,0,0,0.0629509851504298,0.0254450400467345,0.071693026095125,6
"gen2_0001",1.088078,0.13349,0.160491,1,0,1,1,0,1,1,1,0,1,1,0,0,0.0645286274410907,0.211651552847006,0.0807229900028794,8
"gen2_0056",0.42851,0.219437,0.280173,0,0,1,0,0,0,1,1,0,0,1,0,1,0.0679367905253035,0.0646319346035229,0.0782172507535349,5
"gen2_0040",0.718779,0.191957,0.274285,1,1,1,1,0,1,1,1,0,1,1,0,0,0.0688859260633978,0.206330696326159,0.0827360128719628,9
"gen2_0054",0.10283,0.280558,0.281003,0,1,0,1,1,1,1,1,1,0,0,0,0,0.0689348568266815,0.189156382378517,0.0859396038687728,7
"gen2_0032",0.269608,0.516602,0.223964,1,0,1,0,0,1,1,1,0,1,0,0,0,0.0695838150322067,0.198092583511687,0.0791479116332027,6
"gen2_0035",0.987359,0.131048,0.296079,1,1,1,1,0,0,1,0,0,1,1,0,0,0.0696975352920627,0.121261882622095,0.0807458998328733,7
"gen2_0057",0.178896,0.330003,0.155154,1,1,1,0,0,0,1,0,1,0,0,0,0,0.070159034586528,0.0733468810275741,0.0763198124637426,5
"gen2_0020",0.373437,0.260634,0.322475,0,1,1,1,0,1,1,1,0,0,1,0,0,0.0710456406568213,0.113252757524051,0.0852804012372431,7
"gen2_0004",-0.114667,0.493662,0.285801,1,1,0,1,1,0,1,1,0,0,1,0,0,0.0712421501474155,0.186497071658898,0.0923148494034319,7
"gen2_0026",-0.479104,0.407497,0.057985,0,1,1,1,1,0,1,0,1,0,0,0,0,0.0728354180900946,0.12905985582954,0.08770483617133,6
"gen2_0042",-0.60945,0.548728,0.217378,1,0,1,0,0,1,1,1,0,1,0,0,0,0.0728856264961941,0.0807764461159923,0.0852483699734549,6
"gen2_0060",-0.346923,0.079568,0.281757,1,1,0,1,0,1,1,0,0,0,1,1,1,0.0734554391849791,0.0357459189642977,0.0886338641297152,8
"gen2_0031",0.230754,0.505445,0.183816,1,1,1,0,1,1,1,0,0,1,1,0,1,0.0736857120829089,0.31542438858968,0.083557784703017,9
