"Gen","Time","MinutesAll","MinutesThis","NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-02 10:07:27",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-02 10:08:56",1.49747116565704,1.49747116565704,"gen0_063",0.111853,0.374796,0.088596,1,1,0,1,0,1,1,1,0,0,0,0,0,0.0535387805240282,0.132205442638836,0.0568055599774,6
1,"2014-12-02 10:10:20",2.89606999953588,1.41273666620255,"gen1_0001",0.111853,0.374796,0.088596,1,1,0,1,0,1,1,1,0,0,0,0,0,0.0535387805240282,0.129757550427501,0.0568055599774,6
2,"2014-12-02 10:12:09",4.70512406031291,1.82179072697957,"gen2_0001",0.111853,0.412298,0.088596,0,1,0,1,0,1,1,1,0,0,0,0,0,0.0536057163352766,0.111319624821694,0.057136998485756,5
3,"2014-12-02 10:13:53",6.44860738913218,1.74860738913218,"gen3_0001",0.111853,0.412298,0.088596,0,1,0,1,0,1,1,1,0,0,0,0,0,0.0536057163352766,0.121775421988945,0.057136998485756,5
4,"2014-12-02 10:15:38",8.18361993233363,1.75028659900029,"gen4_0001",0.111853,0.412298,0.088596,0,1,0,1,0,1,1,1,0,0,0,0,0,0.0536057163352766,0.119128094506546,0.057136998485756,5
5,"2014-12-02 10:17:26",9.98799556493759,1.80466223160426,"gen5_0047",0.009348,0.15691,0.076101,0,1,0,1,0,0,1,1,0,0,0,0,1,0.0532887741976494,0.0497103910119886,0.0563976974021274,5
6,"2014-12-02 10:19:16",11.8192478378614,1.83591450452805,"gen6_0042",-0.096226,0.101099,0.079635,0,1,1,1,0,1,1,1,0,0,1,0,0,0.0529440005069642,0.0457781630294344,0.0571527726217574,7
7,"2014-12-02 10:21:11",13.7357977469762,1.91913108030955,"gen7_0034",-0.019614,0.123536,0.089635,1,0,0,1,1,1,1,1,0,0,0,0,0,0.0528590476071241,0.0629318780023224,0.0567211946323934,6
8,"2014-12-02 10:23:00",15.5623585899671,1.82902525663376,"gen8_0029",-0.054724,0.153671,0.081758,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0522335176451495,0.0722588534352287,0.0582935472600063,7
9,"2014-12-02 10:24:49",17.3715690851212,1.82156908512115,"gen9_0048",0.121553,0.12511,0.07732,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0518198217639902,0.0722763115455251,0.0581808260967312,7
10,"2014-12-02 10:26:43",19.2758064389229,1.90913977225622,"gen10_0001",0.121553,0.12511,0.07732,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0518198217639902,0.0743560228303321,0.0581808260967312,7
11,"2014-12-02 10:28:39",21.2022779544195,1.93561128775279,"gen11_0054",0.057777,0.138416,0.080598,1,1,0,1,1,1,1,1,0,0,0,0,0,0.0522381993624663,0.0855051927318899,0.056026540372238,7
12,"2014-12-02 10:30:29",23.0440377990405,1.84403779904048,"gen12_0045",0.059548,0.122526,0.080252,1,1,0,1,1,1,1,1,0,1,0,0,0,0.0521279641941191,0.112791856994953,0.0570281914298319,8
13,"2014-12-02 10:32:26",24.9942916313807,1.96095829804738,"gen13_0034",0.157241,0.11933,0.074621,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0517856616076141,0.0724054443800141,0.0582270599951435,7
14,"2014-12-02 10:34:16",26.8238883455594,1.8405550122261,"gen14_0040",0.140475,0.11866,0.078854,1,1,1,1,0,1,1,1,0,0,0,0,1,0.0519627416724369,0.0791060220961723,0.0582883028024717,8
15,"2014-12-02 10:36:14",28.7914215445518,1.97475487788518,"gen15_0037",0.154929,0.117755,0.074457,1,0,1,1,0,1,1,1,0,0,0,0,1,0.0519045641810808,0.0741281897318378,0.0580852110354704,7
16,"2014-12-02 10:38:08",30.6880756139755,1.90474228064219,"gen16_0001",0.154929,0.117755,0.074457,1,0,1,1,0,1,1,1,0,0,0,0,1,0.0519045641810808,0.0715924504221649,0.0580852110354704,7
17,"2014-12-02 10:40:04",32.627289112409,1.94395577907562,"gen17_0018",0.139119,0.117981,0.076164,1,0,1,1,0,1,1,1,1,0,0,0,1,0.0518962032929407,0.106230630067894,0.0573649778524729,8
18,"2014-12-02 10:42:00",34.5535012086233,1.93683454195658,"gen18_0026",0.124458,0.120568,0.082149,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0518429034174887,0.066334366336025,0.0581652302270331,7
19,"2014-12-02 10:43:56",36.4916220943133,1.9416220943133,"gen19_0049",0.129352,0.12042,0.079691,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0518200478211533,0.0713271152776477,0.0581544787122951,7
20,"2014-12-02 10:45:51",38.4018568992615,1.91852356592814,"gen20_0035",0.136949,0.120385,0.079634,1,1,0,1,0,1,1,1,0,0,0,0,1,0.0518133567683362,0.0745821522892274,0.0581468155858436,7
