"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen0_063",0.111853,0.374796,0.088596,1,1,0,1,0,1,1,1,0,0,0,0,0,0.0535387805240282,0.132205442638836,0.0568055599774,6
"gen0_055",0.323358,0.271098,0.143532,1,0,1,0,1,1,1,1,0,1,0,1,1,0.0605334420337136,0.290799846450049,0.0652519259614163,9
"gen0_018",-0.300445,0.354141,0.09749,0,1,0,1,0,0,1,0,1,1,0,0,0,0.0618306369046623,0.0990798655038833,0.0644998987011852,5
"gen0_031",-0.788612,0.76656,0.042042,1,1,0,0,1,0,1,0,0,1,1,0,0,0.0706396799501803,0.0999309295707512,0.0745776126829987,6
"gen0_044",-0.822986,0.475847,0.023327,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0771373733293459,0.00921702123671139,0.0853131219589802,3
"gen0_005",1.292063,0.532371,0.508822,0,0,0,0,0,1,1,1,0,0,1,1,0,0.078102315049537,0.0818003040652918,0.0860994328377742,5
"gen0_008",-0.178754,0.189787,0.45,1,0,0,0,1,1,1,0,1,0,0,0,0,0.0859448424570206,0.0422954801490022,0.0982867812945714,5
"gen0_021",-1.043376,0.756515,0.348293,0,0,1,0,0,0,1,1,1,1,1,0,0,0.0877464039397185,0.0554263695687688,0.0883930541007475,6
"gen0_013",0.458414,0.22304,0.739498,0,1,1,0,1,0,1,1,1,0,1,1,0,0.0883734121008466,0.066127533045109,0.0947940765285845,8
"gen0_040",1.440475,0.674234,0.486759,0,0,0,0,0,1,1,0,1,1,1,0,1,0.088414256212122,0.184168192256253,0.100138803100902,6
"gen0_030",-1.337035,0.330997,0.241719,1,0,1,1,0,0,1,1,0,1,1,1,1,0.0929623972872052,0.0385997477899774,0.0929254413887614,9
"gen0_041",0.551695,0.722984,0.555748,1,0,0,1,0,0,1,0,1,0,0,0,0,0.0960510584530944,0.0893827708165065,0.108864378324284,4
"gen0_039",-0.104785,0.402425,0.177281,0,0,1,0,1,1,0,1,0,0,0,0,0,0.100553910699838,0.0621622043087773,0.109814015566144,4
"gen0_024",1.028708,0.088589,0.81303,1,1,0,1,1,0,1,0,0,1,0,0,0,0.10130751175482,0.023486673012566,0.111479080195419,6
"gen0_034",0.569834,0.046125,0.638406,0,1,0,1,1,1,0,0,1,1,1,0,1,0.104108976687131,0.0464650588724877,0.123229556083779,8
"gen0_036",0.198342,0.879586,0.528763,1,0,1,1,1,0,0,0,0,1,0,0,1,0.108597169235539,0.217078735844961,0.124104328857243,6
"gen0_028",-1.430905,0.139114,0.683853,1,1,0,0,0,0,1,0,1,1,0,1,1,0.108690469877846,0.00786894749596984,0.115970951040849,7
"gen0_026",1.335408,0.650485,0.292539,1,1,1,0,1,1,0,0,0,1,0,1,1,0.109956771279975,0.428705855966114,0.118270932093351,8
"gen0_048",0.644141,0.214262,0.764553,0,0,1,1,1,0,1,0,1,1,0,0,1,0.110419361321521,0.0758308678581669,0.124870562472275,7
"gen0_011",0.271294,0.384247,0.20994,0,0,1,1,1,0,0,0,1,0,1,1,0,0.110750901876577,0.184976577797771,0.131368622765491,6
"gen0_060",0.976475,0.168866,0.829145,1,1,0,1,0,1,1,0,0,1,1,1,1,0.111746613737837,0.0458430446472725,0.115237024961392,9
"gen0_054",-0.372052,0.245332,0.604112,1,0,1,1,0,0,0,0,1,1,0,1,0,0.111881958650989,0.0503246224384203,0.126497426463567,6
"gen0_015",-0.445711,0.949871,0.325867,1,0,0,1,1,1,0,1,1,0,0,0,1,0.111897991634369,0.166529221082027,0.124048474178558,7
"gen0_006",-0.558477,0.863379,0.467948,0,1,1,0,1,0,0,1,0,0,1,0,1,0.11380005914139,0.0783001572020438,0.126070802375771,6
