"Par1","Par2"
16,3
6,13
11,1
1,14
8,7
3,6
12,7
9,15
10,8
6,12
13,3
5,15
9,10
10,14
3,8
12,10
13,14
2,16
8,1
5,15
12,5
12,6
16,12
14,15
16,12
6,14
4,12
5,2
10,14
8,2
13,14
4,5
4,11
8,3
6,5
5,1
3,10
11,16
5,14
10,4
5,15
3,2
9,4
10,11
14,3
5,12
7,6
14,12
