"Par1","Par2"
13,14
5,13
11,5
7,12
5,11
7,9
14,16
13,12
8,14
14,5
9,10
15,8
3,7
3,13
16,8
3,16
9,5
3,7
12,8
15,8
14,7
7,14
4,13
10,15
9,13
14,3
1,15
11,8
8,4
1,13
12,3
2,16
4,1
5,16
2,5
16,9
12,5
12,11
5,14
6,16
7,13
9,14
6,12
16,14
8,14
10,2
11,15
4,7
