"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen16_0001",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.045838312626072,0.0633206209667916,12
"gen16_0003",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0487098198756099,0.0633206209667916,12
"gen16_0004",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0461328042191356,0.0633206209667916,12
"gen16_0006",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0527291034276649,0.0633206209667916,12
"gen16_0007",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0472518784018866,0.0633206209667916,12
"gen16_0012",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0494797598387497,0.0633206209667916,12
"gen16_0013",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0501688340644338,0.0633206209667916,12
"gen16_0015",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0510650545448501,0.0633206209667916,12
"gen16_0020",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0479522305836328,0.0633206209667916,12
"gen16_0021",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0473567206328885,0.0633206209667916,12
"gen16_0022",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0431628671505388,0.0633206209667916,12
"gen16_0027",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0523958443969012,0.0633206209667916,12
"gen16_0029",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0491444488975949,0.0633206209667916,12
"gen16_0030",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0498290389966746,0.0633206209667916,12
"gen16_0033",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0486574820323329,0.0633206209667916,12
"gen16_0035",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0515919252890719,0.0633206209667916,12
"gen16_0036",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0527923206121282,0.0633206209667916,12
"gen16_0037",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0482132015240639,0.0633206209667916,12
"gen16_0038",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0491315102366733,0.0633206209667916,12
"gen16_0039",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0489361028247891,0.0633206209667916,12
"gen16_0040",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0517733299846833,0.0633206209667916,12
"gen16_0042",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0554264508576623,0.0633206209667916,12
"gen16_0045",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0512077182173199,0.0633206209667916,12
"gen16_0048",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0441315612596054,0.0633206209667916,12
"gen16_0050",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0592586762764937,0.0400657397009576,0.0633206209667916,12
