"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen3_0001",15,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen3_0002",12,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0003",9,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen3_0004",14,0,1,1,0,1,1,1,1,1,1,1,1,1
"gen3_0005",6,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen3_0006",11,0,1,1,1,1,1,0,1,0,1,1,1,1
"gen3_0007",9,1,1,1,1,1,1,1,1,0,0,1,1,1
"gen3_0008",16,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0009",16,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen3_0010",6,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0011",21,0,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0012",20,1,1,1,1,0,1,1,1,1,0,1,1,1
"gen3_0013",6,0,1,1,0,1,1,1,0,1,1,0,1,1
"gen3_0014",6,1,1,1,0,1,1,1,1,1,0,0,0,1
"gen3_0015",9,1,1,1,0,1,1,1,1,1,1,1,1,0
"gen3_0016",12,0,1,1,0,1,1,1,1,1,1,1,0,1
"gen3_0017",27,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0018",9,1,1,1,0,1,1,1,1,0,0,0,1,1
"gen3_0019",6,0,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0020",16,0,1,1,1,1,1,1,1,0,0,1,1,1
"gen3_0021",6,1,1,1,1,1,1,1,1,1,1,0,1,0
"gen3_0022",6,1,1,1,0,1,1,1,1,1,0,1,0,1
"gen3_0023",7,1,1,0,0,0,1,1,1,1,1,1,1,0
"gen3_0024",8,1,1,1,0,1,1,0,1,1,1,0,1,1
"gen3_0025",16,0,1,1,1,1,1,1,1,1,1,0,0,1
"gen3_0026",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0027",19,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0028",13,1,1,1,1,1,1,1,0,1,1,1,1,1
"gen3_0029",19,0,1,1,1,1,1,1,1,1,0,1,0,1
"gen3_0030",16,1,1,1,1,1,0,1,1,1,1,0,1,1
"gen3_0031",30,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen3_0032",19,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0033",19,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0034",12,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0035",6,1,1,1,0,1,1,1,1,0,1,0,1,1
"gen3_0036",6,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0037",8,0,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0038",7,1,1,1,1,1,1,1,1,0,0,1,1,1
"gen3_0039",22,0,1,1,0,1,1,1,1,1,1,1,0,1
"gen3_0040",5,1,1,0,1,1,1,1,1,1,1,1,0,1
"gen3_0041",20,0,1,1,1,0,1,1,1,1,0,0,1,1
"gen3_0042",13,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen3_0043",15,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen3_0044",13,0,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0045",15,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0046",9,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen3_0047",20,0,1,1,1,1,1,1,0,1,0,0,1,1
"gen3_0048",21,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0049",22,1,1,1,1,1,1,1,1,0,0,0,1,1
"gen3_0050",5,0,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0051",8,1,1,1,0,1,1,1,1,1,0,0,1,0
"gen3_0052",7,1,1,1,0,1,0,1,1,0,0,1,1,1
"gen3_0053",18,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0054",14,1,1,1,1,1,1,1,1,1,1,0,0,0
"gen3_0055",16,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen3_0056",21,0,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0057",19,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen3_0058",12,0,1,0,0,1,1,1,0,0,1,1,1,1
"gen3_0059",13,1,1,1,0,1,1,1,1,1,1,0,0,1
"gen3_0060",8,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen3_0061",16,0,1,1,1,0,1,1,0,0,0,0,1,1
"gen3_0062",11,1,1,1,1,1,1,1,1,1,0,0,1,1
"gen3_0063",6,1,1,1,1,0,1,1,1,1,1,0,1,1
"gen3_0064",11,0,1,1,0,1,1,1,1,0,1,1,0,1
