"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen7_0001",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0002",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0003",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0004",15,0,1,1,1,0,1,1,0,1,1,0,1,1
"gen7_0005",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0006",15,0,0,1,1,1,1,1,1,1,0,0,1,1
"gen7_0007",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0008",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0009",15,1,1,1,1,1,1,1,1,1,1,1,0,1
"gen7_0010",15,1,1,1,1,1,0,1,1,1,0,1,0,1
"gen7_0011",16,0,1,1,1,1,1,1,1,1,1,1,0,1
"gen7_0012",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0013",15,1,1,1,1,1,1,1,1,0,1,1,1,1
"gen7_0014",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0015",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0016",15,1,1,1,1,1,1,1,1,0,1,1,1,1
"gen7_0017",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0018",15,0,1,1,1,1,1,1,1,0,1,0,1,1
"gen7_0019",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0020",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0021",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0022",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0023",15,1,1,1,1,1,1,0,1,1,1,1,1,1
"gen7_0024",15,1,1,0,1,1,1,1,1,1,1,1,0,1
"gen7_0025",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0026",13,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0027",15,1,0,1,1,1,1,1,0,1,1,1,0,1
"gen7_0028",16,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0029",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0030",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0031",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0032",15,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0033",15,0,1,1,0,1,1,1,1,1,1,0,1,1
"gen7_0034",15,0,1,0,1,1,1,1,1,1,1,1,1,1
"gen7_0035",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0036",15,0,1,1,1,1,1,1,1,1,0,0,1,1
"gen7_0037",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0038",15,1,1,1,1,1,1,0,1,1,1,1,1,1
"gen7_0039",15,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0040",15,0,0,1,1,1,1,1,1,1,1,1,1,1
"gen7_0041",15,0,1,1,1,1,1,0,1,1,1,1,1,1
"gen7_0042",29,1,1,1,1,1,1,1,0,1,1,0,1,1
"gen7_0043",16,0,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0044",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0045",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0046",27,0,1,1,1,1,0,1,1,1,1,1,0,1
"gen7_0047",15,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen7_0048",15,1,0,1,1,1,1,1,1,1,1,1,1,1
"gen7_0049",24,1,1,1,1,1,1,1,1,1,0,1,1,1
"gen7_0050",15,1,1,1,0,1,1,1,1,1,0,0,1,1
"gen7_0051",15,1,1,1,1,1,1,1,1,1,1,0,0,1
"gen7_0052",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0053",15,0,1,1,1,1,1,1,1,1,1,0,1,0
"gen7_0054",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0055",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0056",15,1,0,1,1,1,1,1,1,0,1,1,1,1
"gen7_0057",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0058",15,0,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0059",15,1,1,1,1,1,1,1,1,1,1,0,1,1
"gen7_0060",15,0,1,1,1,1,0,1,1,1,1,1,1,1
"gen7_0061",16,0,1,1,1,1,1,1,0,1,1,1,1,1
"gen7_0062",15,1,1,1,1,1,1,1,1,1,1,1,1,1
"gen7_0063",15,1,1,1,0,1,1,1,1,1,1,1,0,1
"gen7_0064",16,0,1,1,1,1,1,1,1,1,1,1,1,1
