"Par1","Par2"
8,5
15,2
12,3
5,12
4,15
7,14
6,12
2,3
9,1
4,3
6,16
2,1
10,16
10,3
15,12
16,8
12,4
3,1
16,9
9,1
7,10
10,2
16,9
5,8
10,2
16,12
12,13
16,6
11,6
9,3
4,14
2,10
12,5
3,4
8,3
6,13
4,6
3,12
13,3
16,10
10,11
11,1
14,3
12,16
16,12
16,9
3,14
2,14
