"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen10_0047",-0.120363,0.116343,0.074479,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0536679267869363,0.0759183838074516,0.0586586862272336,10
"gen10_0039",-0.164564,0.104586,0.082782,1,1,1,1,1,0,1,1,1,1,1,1,1,0.053915208006249,0.085548634899978,0.0586396119753647,12
"gen10_0023",0.007009,0.15305,0.076451,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0539906751312413,0.125755079874878,0.0590934770935092,11
"gen10_0026",-0.037024,0.14595,0.081883,1,1,1,1,1,0,1,1,1,0,1,1,1,0.0540549486357472,0.102457536073241,0.058686765733381,11
"gen10_0061",-0.146172,0.125658,0.074516,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0541674883333324,0.0837983081897259,0.0575657740521677,11
"gen10_0040",-0.145642,0.153729,0.086726,1,1,0,1,1,0,1,1,1,0,1,1,1,0.0541831976723075,0.0885426859903834,0.0589302681545064,10
"gen10_0050",-0.171997,0.141331,0.090896,1,1,0,1,1,0,1,1,1,0,1,1,1,0.0541893561956794,0.0759251227071489,0.0586561430292142,10
"gen10_0041",-0.213334,0.165212,0.07254,1,1,0,1,1,1,1,1,1,0,1,1,0,0.0541969294566308,0.0808046884434183,0.0583691034356586,10
"gen10_0037",-0.247089,0.156994,0.087734,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0542845308990159,0.0962406028085352,0.0593705330075681,11
"gen10_0032",0.023011,0.164678,0.111456,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0542983549847628,0.108363359092523,0.0594072842561819,11
"gen10_0004",0.184833,0.225402,0.091975,1,0,1,1,1,0,1,1,1,0,1,0,0,0.0543326607608494,0.107350779253361,0.0589391835639887,8
"gen10_0005",-0.143868,0.152209,0.09049,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0543365848728276,0.129283581869748,0.0594876377802067,12
"gen10_0006",0.045223,0.145394,0.082152,1,1,0,1,1,1,1,1,0,1,1,1,0,0.0543390653277124,0.0910977309501183,0.0586375868994226,10
"gen10_0007",-0.003245,0.150745,0.088787,1,1,0,1,1,0,1,1,1,0,1,1,0,0.0543431573181307,0.0744936390695223,0.0585856029391646,9
"gen10_0051",-0.206699,0.168965,0.090326,1,1,1,1,1,0,1,1,1,0,1,1,1,0.0543502205058114,0.101081090794285,0.0592193291917933,11
"gen10_0009",-0.027596,0.155086,0.11139,1,1,0,1,1,0,1,1,1,0,1,1,0,0.0543972083410212,0.0756453172538864,0.0593020382184307,9
"gen10_0028",-0.152184,0.187118,0.085221,1,1,0,1,1,1,1,1,1,1,1,0,0,0.054430960486722,0.105035550112194,0.0585349137428413,10
"gen10_0030",-0.188834,0.142888,0.072273,0,1,1,1,1,0,1,1,1,0,1,1,1,0.0544360871759237,0.0807568966620433,0.0586634480202766,10
"gen10_0011",-0.228463,0.211467,0.090214,1,1,0,1,1,0,1,1,1,0,1,0,1,0.0544541901916629,0.0849744075979356,0.0588290968186248,9
"gen10_0058",-0.15414,0.146616,0.088283,0,1,1,1,1,0,1,1,1,1,1,1,1,0.054458674934725,0.110208217328118,0.0596179396821227,11
"gen10_0053",0.183582,0.193752,0.110569,1,1,1,1,1,0,1,1,1,0,1,0,1,0.0544618409227967,0.123490132192007,0.0588201088460143,10
"gen10_0059",-0.225624,0.14269,0.076859,1,1,1,1,1,0,1,1,1,0,1,1,0,0.0544682781416279,0.0647428538473237,0.0587254814582308,10
"gen10_0027",-0.000874,0.182537,0.077769,1,1,1,1,1,0,1,1,1,1,1,0,1,0.0544748108825604,0.141217365510576,0.0586875908838676,11
"gen10_0038",-0.216079,0.160578,0.067383,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0545082004067667,0.126884595242239,0.0591854217008013,12
