"NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen25_0048",-0.044414,0.115703,0.018534,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0532751083606994,0.101998687214917,0.0583514509635963,12
"gen25_0001",-0.043816,0.114201,0.018789,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0533374173943871,0.0908276485959732,0.0583498407973318,11
"gen25_0003",-0.045503,0.115792,0.056411,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534168966937125,0.0925491735574755,0.0585043763196369,11
"gen25_0060",-0.008516,0.115901,0.059922,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534200071047237,0.0960297609908343,0.058451744374862,11
"gen25_0061",-0.043217,0.116181,0.059159,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534227636396842,0.0896156585196013,0.0584674446288509,11
"gen25_0026",-0.042688,0.1159,0.054505,1,1,0,1,1,1,1,1,1,1,1,1,0,0.053426287710918,0.0916072441427088,0.0585163421226977,11
"gen25_0041",-0.047257,0.114871,0.045274,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534333597959714,0.0886682142568388,0.0586449588131762,11
"gen25_0043",-0.042198,0.11783,0.030171,1,1,0,1,1,1,1,1,1,1,1,1,0,0.053454444764694,0.09543963429504,0.0585277308159453,11
"gen25_0046",-0.004416,0.115736,0.055914,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0534661435917234,0.106359156883027,0.0585300433818113,12
"gen25_0005",-0.043893,0.111789,0.07948,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534844736073938,0.0858961580385787,0.0582861648118563,11
"gen25_0006",-0.041369,0.111752,0.080765,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0534852311094903,0.0867927264441628,0.0582911697796598,11
"gen25_0007",-0.041636,0.117834,0.055844,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0534923125524431,0.105203121323483,0.0585475130168917,12
"gen25_0057",-0.043081,0.115892,0.067471,1,1,0,1,1,1,1,1,1,1,1,1,0,0.053497628205949,0.091137609522647,0.0583731915454008,11
"gen25_0045",-0.038048,0.117998,0.056909,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0535024946633641,0.103677305661014,0.0585473615780727,12
"gen25_0058",0.001462,0.11589,0.072077,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535029338574403,0.0942016920763962,0.0583583090932284,11
"gen25_0018",-0.045064,0.120301,0.062124,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535054196646517,0.0954667027997159,0.0584670573993222,11
"gen25_0038",-0.043524,0.114144,0.079759,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535056602795167,0.0930779547345411,0.0583464558533424,11
"gen25_0009",-0.043193,0.113748,0.082141,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535109101828747,0.0894206723226244,0.0583323447129246,11
"gen25_0013",-0.044815,0.121896,0.038025,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535144251418298,0.0957779321474872,0.058644834580793,11
"gen25_0010",-0.047237,0.11539,0.078652,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535152074329599,0.0882505106989481,0.058389236946148,11
"gen25_0059",-0.033103,0.115881,0.079626,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535200119219604,0.0938240940527971,0.0583902061303257,11
"gen25_0011",-0.043378,0.116171,0.078834,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535204691109788,0.092265943388507,0.058410923832838,11
"gen25_0063",-0.042561,0.116106,0.079254,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535229893775544,0.0901800690048001,0.0583986988097972,11
"gen25_0012",-0.042537,0.115895,0.07976,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535241429036259,0.0884686232992739,0.0583857659111995,11
"gen25_0056",-0.044792,0.116175,0.079296,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535244329141093,0.0904075871564961,0.0584014915792692,11
"gen25_0055",-0.042373,0.116429,0.079184,1,1,0,1,1,1,1,1,1,1,1,1,0,0.05352445000932,0.0923706708532853,0.0584110230002125,11
"gen25_0049",-0.03963,0.116956,0.078639,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535264574777353,0.0936579083691798,0.058428477753122,11
"gen25_0039",-0.045069,0.115769,0.080707,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535264697094272,0.0891682001128371,0.0583660731467269,11
"gen25_0025",-0.045352,0.115787,0.081666,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535282896046568,0.0908392355015738,0.0583553875180668,11
"gen25_0033",-0.039342,0.117719,0.077586,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535288166434426,0.0923401753582879,0.0584338362667878,11
"gen25_0021",-0.04295,0.11719,0.079917,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535356893389153,0.0913794784011897,0.0584123538283805,11
"gen25_0047",-0.044217,0.120394,0.03828,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0535491391014004,0.0788476394392657,0.0575640491134452,11
"gen25_0053",-0.041494,0.121189,0.067676,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0535537684687216,0.0954861971965534,0.058442134185895,11
"gen25_0036",-0.043974,0.111375,0.026171,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0535676685686099,0.0792280013251229,0.0583510967854821,10
"gen25_0019",-0.041066,0.116092,0.058689,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0536154944447146,0.0958866605020582,0.0583055044840724,11
"gen25_0023",-0.044398,0.11468,0.0787,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0536155656335007,0.0749759704043936,0.0580050989484989,10
"gen25_0030",-0.043045,0.116536,0.079045,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0536234708361838,0.0751593051310067,0.058018550656757,10
"gen25_0024",-0.046732,0.112499,0.079432,1,1,0,1,1,1,1,1,1,0,1,1,0,0.0536392792177524,0.0673874101416696,0.0578180819489587,10
"gen25_0037",-0.041223,0.113779,0.07984,1,1,0,1,1,1,1,1,1,0,1,1,0,0.0536487989548464,0.0674604071137809,0.0577974490859607,10
"gen25_0040",-0.045062,0.116732,0.054424,1,1,0,1,1,1,1,1,1,1,0,1,0,0.0536880612077691,0.0779323438487327,0.0580573802440059,10
"gen25_0028",-0.04335,0.113547,0.082315,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0537797679266507,0.110822709660483,0.0580866063352797,12
"gen25_0062",-0.045664,0.115782,0.076086,1,1,0,1,1,1,1,1,1,1,1,1,1,0.053793530308869,0.111876128184323,0.0580509505908341,12
"gen25_0044",-0.040529,0.120637,0.074796,0,1,0,1,1,0,1,1,1,1,1,1,0,0.0539425326337021,0.068888984456325,0.0589434283144641,9
"gen25_0022",0.375622,0.117353,0.054647,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0540067174557687,0.170881642164611,0.0585282182472265,12
"gen25_0008",-0.046738,0.121114,0.046446,1,0,0,1,1,1,1,1,1,0,1,1,0,0.0540649825418471,0.0622076151522554,0.0580712221200613,9
"gen25_0052",-0.031749,0.11659,0.066846,1,1,0,1,1,1,1,1,0,1,1,1,0,0.0541446952320813,0.0674295918707735,0.0586654603453958,10
"gen25_0020",-0.041361,0.117624,0.079724,1,1,0,1,1,1,1,1,0,1,1,1,0,0.0541943885732591,0.0689122771861495,0.0587283321837247,10
"gen25_0042",-0.046718,0.121633,0.079824,0,1,0,1,1,1,1,1,1,1,1,0,0,0.054211648734228,0.0675802975101837,0.0577328604675497,9
"gen25_0029",-0.04412,0.116068,0.079435,1,0,0,1,1,1,1,1,1,0,1,1,0,0.0542444322088575,0.0627969199477807,0.0581653227406825,9
"gen25_0032",-0.043203,0.029854,0.078731,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0545930588776993,0.0227138950825987,0.056928725479781,11
"gen25_0004",-0.044066,0.12123,0.026962,1,1,0,1,0,1,1,1,1,1,1,1,0,0.0549710003998149,0.0664745707504187,0.0588296117378659,10
"gen25_0035",-0.043985,0.121644,0.063086,1,1,0,1,0,1,1,1,1,1,1,1,1,0.0550799614223891,0.0841705409634851,0.058236707199195,11
"gen25_0002",-0.000828,0.1159,0.056979,1,1,0,0,1,1,1,1,1,0,0,1,0,0.0556661507604182,0.042796731794533,0.0572677475822038,8
"gen25_0017",-0.045567,0.112602,0.063802,0,0,0,1,1,1,1,1,0,1,1,0,0,0.0565724808635839,0.0311795914448238,0.0588478852654141,7
"gen25_0031",-0.043962,0.312869,0.079749,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0567253829606129,0.236877685717517,0.0622118277214157,11
"gen25_0015",-0.044628,0.315261,0.07872,1,1,0,1,1,1,1,1,1,1,1,1,0,0.056761936240741,0.235119275312702,0.0622366832586524,11
"gen25_0014",-0.038661,0.117237,0.078005,1,1,0,1,1,1,1,0,1,0,1,1,0,0.0573641848736054,0.0521917217417761,0.0606816838017334,9
"gen25_0016",-0.040791,0.545179,0.082569,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0619865424201891,0.371322346918846,0.0673022143985901,11
"gen25_0054",-0.043952,0.986668,0.03812,1,1,0,1,1,1,1,1,0,1,1,1,0,0.0673330890108726,0.446121213699097,0.0721257146710256,10
"gen25_0050",-1.632819,0.11699,0.078086,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0677092455555896,0.0118837515333108,0.0688312893001402,11
"gen25_0064",-0.043354,0.11596,0.603655,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0774348976385235,0.0400477618909491,0.0840709789434014,11
"gen25_0034",-0.040955,0.117352,0.097653,1,1,1,1,1,1,0,1,1,1,1,1,0,0.0898094611794952,0.0724743822196963,0.108384323692939,11
"gen25_0051",-2.123414,0.737027,0.068853,1,1,0,0,1,1,1,0,1,1,1,1,0,0.139526670011818,0.00733071710332729,0.134724400565524,9
"gen25_0027",-3.877047,0.116372,0.07866,1,1,1,1,1,1,1,1,1,1,1,1,0,0.220102854451184,0.000437108257412411,0.224915890199755,12
