"Par1","Par2"
7,10
15,4
7,1
4,13
8,12
15,10
10,8
8,10
8,13
4,13
11,12
6,9
4,12
1,12
14,7
5,12
4,14
15,11
3,15
12,8
16,1
10,9
7,5
1,6
7,14
1,2
6,7
1,10
2,5
12,4
3,10
9,16
16,6
11,9
12,3
11,12
8,13
2,1
7,12
4,16
6,4
8,15
5,16
13,8
7,16
10,2
3,1
8,4
