"NAMES","Mean.Train.MAE","Mean.Train.RMSE","Mean.Train.MAPE","Mean.Train.MBE","Mean.Valid.MAE","Mean.Valid.RMSE","Mean.Valid.MAPE","Mean.Valid.MBE","Mean.Test.MAE","Mean.Test.RMSE","Mean.Test.MAPE","Mean.Test.MBE","Mean.Size.Model","Mean.Num.Features","Sd.Train.MAE","Sd.Train.RMSE","Sd.Train.MAPE","Sd.Train.MBE","Sd.Valid.MAE","Sd.Valid.RMSE","Sd.Valid.MAPE","Sd.Valid.MBE","Sd.Test.MAE","Sd.Test.RMSE","Sd.Test.MAPE","Sd.Test.MBE","Sd.Size.Model","Sd.Num.Features"
"gen7_0001",0.0423061421936587,0.0665187505650145,Inf,-0.0086626444881598,0.0550196491028323,0.0813673466435113,Inf,-0.00914093773633085,0.059964505818687,0.082100476011184,18.2591214771665,0.00522797652002998,0.170774517927102,10,0.000249643965042075,0.000335798268088572,NA,0.000217133046642125,0.00292880077273966,0.00422413054489671,NA,0.00393056239129534,NA,NA,NA,NA,NA,NA
"gen7_0002",0.0465593188259823,0.0717764307741182,Inf,-0.00847745320088321,0.0551793515716629,0.0815355072851142,Inf,-0.00871040614231924,0.0591324341609869,0.081288085924982,17.9590188554999,0.00477115498031487,0.101987384798774,9,0.000345644325238905,0.000489806744636614,NA,0.000291378742996701,0.00382570103947665,0.00523198558555539,NA,0.00397698976467105,NA,NA,NA,NA,NA,NA
"gen7_0003",0.0482489346863665,0.0729092541018928,Inf,-0.00789441849566906,0.0548139568409854,0.081150467076607,Inf,-0.00817769950363031,0.0594997343394343,0.0812092508688683,17.8509756544249,0.00605890473426027,0.0998958334524411,7,0.000273367874460046,0.000409948094732477,NA,0.00020061147816213,0.00302955448641311,0.00460246624054096,NA,0.00437538626460795,NA,NA,NA,NA,NA,NA
"gen7_0004",0.0474191916282747,0.0715579582516048,Inf,-0.00674766571536324,0.0560599513878344,0.0823454345507521,Inf,-0.00716475375864029,0.0598175395818281,0.0813345614962074,17.9320181212606,0.00392287776191962,0.122798340953196,10,0.000305935385818292,0.000440662825581954,NA,0.000222861399383462,0.00343600995196868,0.00485029797142794,NA,0.00392244748977315,NA,NA,NA,NA,NA,NA
"gen7_0005",0.0588652321711744,0.0878482512622195,Inf,-0.012688477416078,0.062750844790681,0.0918661935333443,Inf,-0.0128598719906766,0.0674880909626862,0.0921069142388052,21.9552668552661,0.00829704558448659,0.0442015211664309,8,0.000325042412737156,0.000478298839746855,NA,0.000370274554134676,0.00296255096221451,0.00475831471766678,NA,0.00527595715600005,NA,NA,NA,NA,NA,NA
"gen7_0006",0.0476392851360992,0.0715048344154605,Inf,-0.00680405943428054,0.0545044317530734,0.0802084435026582,Inf,-0.00722941401686192,0.0595208923829889,0.0815528515870939,17.9604361476143,0.00694718447352098,0.103288900715787,9,0.000277413823354349,0.000366166736879923,NA,0.000276800244867661,0.00301715840817495,0.00430939366300598,NA,0.00444245194866989,NA,NA,NA,NA,NA,NA
"gen7_0007",0.0717108357377668,0.0862489246733713,Inf,0.0250080074097888,0.0741280448359573,0.0912997530534947,Inf,0.0246713432825364,0.0790078819447744,0.0956569213561537,23.5255541780039,0.0389533838584675,0.059657495595332,8,0.00048846442002583,0.000320875089241022,NA,0.00085085876167953,0.00203524432832956,0.0033214256410009,NA,0.00534685567479541,NA,NA,NA,NA,NA,NA
"gen7_0008",0.0483211503841871,0.072992462929503,Inf,-0.00820730368575421,0.05514472269875,0.0812272932309581,Inf,-0.00861206264817117,0.0602620292362908,0.0829475148277194,18.541798542499,0.00686201668826752,0.093666891069024,11,0.000346421391624779,0.000452185682465138,NA,0.000260920609065513,0.00366926749467077,0.00510519025506209,NA,0.00339712103776811,NA,NA,NA,NA,NA,NA
"gen7_0009",0.0495858894480451,0.0771071125090938,Inf,-0.0117678346543048,0.0551714309478004,0.0825943006197521,Inf,-0.0119372743908798,0.0590740040259906,0.082522799835897,18.170916793024,0.0006017575618564,0.066967267578272,10,0.000406197932315392,0.000545787394851537,NA,0.000401578473752994,0.00395772095064174,0.0058585776863608,NA,0.00428571511861426,NA,NA,NA,NA,NA,NA
"gen7_0010",0.113331784326981,0.132844851452497,Inf,0.0429944174618172,0.114178720913265,0.134657313011483,Inf,0.0428076796321336,0.1203688680034,0.141508343272929,38.1775814654241,0.0532278261643703,0.028698395052797,8,0.00214323961352445,0.00183999856254648,NA,0.00379716840047263,0.00145600071246444,0.00175066633373028,NA,0.00534101007519001,NA,NA,NA,NA,NA,NA
