"Gen","Time","MinutesAll","MinutesThis","NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-02 08:45:22",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-02 08:46:54",1.53894903659821,1.53894903659821,"gen0_022",0.21338,0.294783,0.002022,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0574313092219645,0.296987061029271,0.0527614058257048,9
1,"2014-12-02 08:48:27",3.08368013302485,1.55034679969152,"gen1_0043",-0.025693,0.146889,0.098748,0,1,1,0,0,1,1,1,0,0,0,1,1,0.0570349173714655,0.0707455658263007,0.0468192307801486,7
2,"2014-12-02 08:50:02",4.67385095755259,1.59051762421926,"gen2_0021",-0.66325,0.102141,0.014207,1,0,1,1,1,0,1,1,0,0,0,1,1,0.0566627735333692,0.0419066880370413,0.0511616802838105,8
3,"2014-12-02 08:51:37",6.25032537778219,1.58365871111552,"gen3_0055",0.921536,0.085275,0.162538,0,0,1,1,0,1,1,1,1,0,0,1,0,0.0556416423153625,0.105389367141942,0.0504401427877442,7
4,"2014-12-02 08:53:16",7.90923662980398,1.65923662980398,"gen4_0057",0.353547,0.10179,0.138543,0,0,1,1,1,0,1,1,0,0,0,1,1,0.0544746032882788,0.0947024824974323,0.0519705136196574,7
5,"2014-12-02 08:55:02",9.6702357172966,1.7702357172966,"gen5_0025",0.48857,0.148939,0.011959,1,0,0,1,1,0,1,1,1,0,1,0,1,0.0536973662228562,0.212163742014258,0.0504387911569949,8
6,"2014-12-02 08:57:04",11.711978328228,2.04531166156133,"gen6_0043",0.237821,0.124318,0.083566,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0529058516699593,0.144975706227616,0.0516496377424879,8
7,"2014-12-02 08:58:59",13.6332627296448,1.93326272964478,"gen7_0059",0.21416,0.092361,0.015955,0,1,1,1,1,1,1,1,1,0,0,1,1,0.0528684377738791,0.152410015861578,0.0487512607266783,10
8,"2014-12-02 09:01:06",15.7485504508018,2.13188378413518,"gen8_0025",0.337513,0.102527,0.035244,1,0,0,1,1,0,1,1,1,0,0,1,1,0.0523907884559542,0.136325158972124,0.0515929543048903,8
9,"2014-12-02 09:03:10",17.8123060743014,2.07897274096807,"gen9_0041",0.318227,0.120585,0.021586,0,1,0,1,1,0,1,1,1,0,1,1,1,0.0520394963252598,0.199068226850708,0.0506175472773744,9
10,"2014-12-02 09:05:20",19.9676241954168,2.16762419541677,"gen10_0042",0.441859,0.092669,0.043288,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0523332845118525,0.139100946776311,0.0502895397848964,8
11,"2014-12-02 09:07:28",22.1022705475489,2.13560388088226,"gen11_0058",0.441878,0.106818,0.040593,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0522827686928607,0.15574243311014,0.05088593892632,8
12,"2014-12-02 09:09:30",24.1334057410558,2.03340574105581,"gen12_0035",0.433682,0.116611,0.040953,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0523089462517807,0.154121920761187,0.0511691573222772,8
13,"2014-12-02 09:11:38",26.278010892868,2.14467755953471,"gen13_0053",0.376483,0.118078,0.040312,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0523039252273986,0.16818123940665,0.0510730214377087,8
14,"2014-12-02 09:13:46",28.4141078233719,2.14744115670522,"gen14_0054",0.31139,0.120267,0.042981,0,0,1,1,1,0,1,1,1,0,1,1,1,0.0522423168216762,0.195169002418227,0.0506025318840398,9
15,"2014-12-02 09:15:46",30.4148629029592,2.01486290295919,"gen15_0042",0.313116,0.120453,0.041212,0,0,1,1,1,0,1,1,1,0,1,1,1,0.0522128372144972,0.206369064795502,0.0506869350211871,9
16,"2014-12-02 09:17:58",32.6003225922585,2.20032259225845,"gen16_0046",0.336813,0.119054,0.043409,0,0,1,1,1,0,1,1,1,0,1,1,1,0.0522493459193884,0.205595607826297,0.0506310539022079,9
17,"2014-12-02 09:20:07",34.7623851935069,2.16238519350688,"gen17_0036",0.351898,0.07892,0.040205,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0517028098977111,0.14452478582593,0.0489052430538201,9
18,"2014-12-02 09:22:14",36.8697761178017,2.11977611780167,"gen18_0001",0.351898,0.07892,0.087746,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0520805037865469,0.145543107583449,0.0497132384553257,9
19,"2014-12-02 09:24:41",39.3268493731817,2.46018270651499,"gen19_0025",0.361783,0.082544,0.080756,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0520053349106505,0.144707365192399,0.0495892424807272,9
20,"2014-12-02 09:26:47",41.4288871884346,2.11222052176793,"gen20_0040",0.372814,0.118482,0.042172,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0523016504312497,0.151838496308382,0.0510495072756059,8
