"NAMES","M","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M.1","M_menos1","M_mas1"
"gen3_0001",9,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen3_0002",2,0,0,1,1,1,0,1,1,0,1,1,1,0
"gen3_0003",6,0,1,1,0,1,0,1,1,1,1,1,0,1
"gen3_0004",8,1,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0005",10,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen3_0006",11,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen3_0007",12,0,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0008",9,1,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0009",8,0,0,1,0,1,1,1,1,0,1,1,1,1
"gen3_0010",8,0,0,1,0,1,1,1,1,0,1,1,1,1
"gen3_0011",6,0,0,1,1,1,0,1,1,0,1,0,0,1
"gen3_0012",17,0,1,0,1,1,0,1,1,0,1,0,0,0
"gen3_0013",15,0,0,1,1,1,0,1,1,0,1,1,1,1
"gen3_0014",15,0,1,1,1,1,0,1,1,0,1,0,1,0
"gen3_0015",16,0,0,1,1,1,0,1,1,0,1,0,1,0
"gen3_0016",16,0,1,0,1,1,0,1,1,1,1,0,1,1
"gen3_0017",15,0,1,0,1,1,0,1,1,0,1,0,0,0
"gen3_0018",17,0,1,1,1,1,0,1,1,0,1,0,1,0
"gen3_0019",11,0,1,1,1,1,0,1,1,0,1,0,1,0
"gen3_0020",10,0,0,1,1,1,0,1,1,0,1,0,0,1
"gen3_0021",11,0,0,1,1,1,0,1,1,0,1,0,1,0
"gen3_0022",7,0,1,0,1,1,0,1,1,1,1,1,1,1
"gen3_0023",11,0,0,1,0,1,0,1,1,1,1,1,0,1
"gen3_0024",9,0,1,0,0,1,0,1,1,0,1,1,1,1
"gen3_0025",6,0,0,0,1,1,0,1,1,0,1,0,1,1
"gen3_0026",8,1,0,1,1,1,0,1,1,0,1,1,0,1
"gen3_0027",2,0,0,1,1,1,0,1,1,0,1,1,1,0
"gen3_0028",10,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen3_0029",11,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen3_0030",13,0,0,1,1,1,1,1,1,0,1,0,1,0
"gen3_0031",10,0,0,1,1,1,0,1,1,0,1,1,1,1
"gen3_0032",15,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen3_0033",15,0,1,0,1,1,0,1,1,0,1,0,1,1
"gen3_0034",16,0,1,1,1,1,0,1,1,1,1,0,1,0
"gen3_0035",6,0,1,1,0,1,0,1,1,1,1,1,0,1
"gen3_0036",11,0,1,0,0,1,0,1,1,1,1,1,0,1
"gen3_0037",3,0,1,0,1,1,0,1,1,1,1,1,0,0
"gen3_0038",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen3_0039",11,0,0,1,1,1,0,1,1,1,1,1,1,1
"gen3_0040",11,0,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0041",6,0,0,1,1,1,0,1,1,1,1,1,0,1
"gen3_0042",6,0,1,1,0,1,0,1,1,0,1,0,0,1
"gen3_0043",6,0,0,1,1,1,0,1,1,0,1,0,1,0
"gen3_0044",16,0,0,1,1,1,0,1,1,0,1,0,0,1
"gen3_0045",8,0,0,1,1,1,0,1,1,0,1,1,0,1
"gen3_0046",7,0,0,1,0,1,0,1,1,0,1,0,1,1
"gen3_0047",11,0,0,0,0,1,0,1,1,0,1,1,0,1
"gen3_0048",15,0,1,1,1,1,0,1,1,1,1,1,1,1
"gen3_0049",10,0,0,1,0,1,1,1,1,0,1,1,1,0
"gen3_0050",14,0,0,1,1,1,0,1,1,0,1,0,1,1
"gen3_0051",14,0,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0052",14,0,1,0,1,1,0,1,1,1,1,0,1,1
"gen3_0053",14,0,0,1,1,1,1,1,1,0,1,0,1,0
"gen3_0054",10,0,0,1,0,1,0,1,1,0,1,1,1,1
"gen3_0055",12,1,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0056",8,0,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0057",13,1,0,0,1,1,0,1,1,0,1,0,0,1
"gen3_0058",12,0,1,0,1,1,0,1,1,0,1,1,1,0
"gen3_0059",12,0,0,0,1,1,0,1,1,0,1,0,1,1
"gen3_0060",13,1,1,0,1,1,0,1,1,1,1,1,1,1
"gen3_0061",15,1,0,1,1,1,0,1,1,0,1,0,1,0
"gen3_0062",10,0,0,0,1,1,0,1,1,0,1,1,1,1
"gen3_0063",5,1,0,1,1,1,0,1,1,0,1,1,1,1
"gen3_0064",5,0,0,0,1,1,0,1,1,0,1,1,1,0
