"Gen","Time","MinutesAll","MinutesThis","NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-03 10:15:14",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-03 10:39:21",24.1293321371078,24.1293321371078,"gen0_026",980,8,0,1,1,1,0,1,1,0,0,0,1,0,1,0.0549501623529986,0.049061176774192,0.0616920483760475,7
1,"2014-12-03 11:00:13",44.9854060371717,20.868739370505,"gen1_0001",980,8,0,1,1,1,0,1,1,1,0,0,1,0,1,0.0543817352924491,0.0560094948959595,0.0608048161803541,8
2,"2014-12-03 11:08:28",53.243782043457,8.2604487101237,"gen2_0011",277,12.9,1,1,1,1,1,1,1,0,0,0,1,1,0,0.0540964280070486,0.0910329739492122,0.0584786399179833,9
3,"2014-12-03 11:32:47",77.5613454500834,24.3280121167501,"gen3_0021",681,7.1,1,1,1,1,1,1,1,1,0,0,1,0,1,0.0536973717899313,0.0603390666136662,0.0601849355953162,10
4,"2014-12-03 11:56:59",101.752880148093,24.2028801480929,"gen4_0050",354,12.4,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0529922266110042,0.0691655501142123,0.0607914031324714,9
5,"2014-12-03 12:11:13",115.991057789326,14.2410577893257,"gen5_0017",654,9.4,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0528969495153583,0.0563561680981462,0.0589196139916099,9
6,"2014-12-03 12:25:08",129.901701029142,13.9183676958084,"gen6_0001",654,9.4,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0529502893965676,0.0598380037791404,0.0590517050142996,9
7,"2014-12-03 12:36:43",141.497423048814,11.5974230488141,"gen7_0046",340,9.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0.052938965553133,0.0343238458653094,0.0586103109252787,8
8,"2014-12-03 12:44:58",149.744621666272,8.26128833293915,"gen8_0063",388,11,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0529564097304316,0.0458988726493304,0.0586381447229328,8
9,"2014-12-03 12:52:27",157.220717895031,7.48738456169764,"gen9_0030",493,11.1,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0527975797973679,0.0690196597861483,0.059280560731995,9
10,"2014-12-03 12:59:51",164.624840434392,7.40817376772563,"gen10_0026",285,10.1,1,1,1,1,1,1,1,1,0,0,1,1,0,0.0529238506690073,0.0702774641590869,0.0574532407577314,10
11,"2014-12-03 13:08:08",172.91460240682,8.297935740153,"gen11_0054",371,10.8,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0527236776682279,0.056230284410725,0.0576526799315366,9
12,"2014-12-03 13:16:21",181.128126819928,8.22812681992849,"gen12_0011",392,10.4,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0528750309379236,0.0605645982485855,0.0589273552316854,9
13,"2014-12-03 13:24:46",189.539128339291,8.42246167262395,"gen13_0007",358,11,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0529967426846383,0.0615681145427352,0.0590501126575784,9
14,"2014-12-03 13:32:46",197.549121852716,8.01578851938248,"gen14_0059",407,10.3,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0528805028850585,0.061086407432848,0.0582540445305092,9
15,"2014-12-03 13:38:12",202.96869413058,5.4353607972463,"gen15_0005",410,9.8,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0529559253186057,0.0519162073709683,0.0572043972717772,9
16,"2014-12-03 13:45:45",210.525646364689,7.55897969802221,"gen16_0057",418,10.7,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0528738300446598,0.0481386852964577,0.0579562889573816,8
17,"2014-12-03 13:55:14",220.012211024761,9.49554435809453,"gen17_0051",372,10.6,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0527829470620929,0.0594049257237517,0.0569979774619831,9
18,"2014-12-03 14:03:11",227.966316211224,7.9663162112236,"gen18_0028",406,10.4,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0528189213290941,0.0524694247511355,0.0569849753898416,9
19,"2014-12-03 14:11:24",236.171283233166,8.22128323316574,"gen19_0025",401,10.5,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0526334556666601,0.0506018527926893,0.0576578132512926,9
20,"2014-12-03 14:17:56",242.71585936149,6.54919269482295,"gen20_0062",384,10.8,1,1,1,1,1,1,1,1,0,0,1,0,0,0.0528931699542467,0.0565203447371381,0.0596833992770376,9
