"Par1","Par2"
11,5
6,1
6,16
7,16
4,8
14,3
8,16
7,15
15,2
5,12
12,9
11,14
1,10
12,8
10,6
5,3
15,4
14,12
2,1
6,7
10,6
5,16
11,5
3,7
2,12
1,3
11,4
15,6
6,15
10,5
13,5
4,15
6,11
14,12
13,2
15,9
14,10
6,2
8,3
6,4
11,10
14,6
8,10
14,10
9,2
12,3
9,10
7,16
