"Par1","Par2"
14,15
8,5
14,8
16,1
4,16
12,2
5,7
16,7
11,13
5,1
14,15
4,7
15,3
4,7
13,12
7,4
16,10
16,7
13,10
11,15
3,12
15,10
3,5
3,7
16,1
5,10
13,8
10,7
16,13
10,15
16,14
13,8
10,13
2,10
16,7
4,2
12,4
5,10
12,10
3,7
14,11
11,6
2,7
16,10
12,7
16,8
3,10
2,9
