"Gen","Time","MinutesAll","MinutesThis","NAMES","LogCost","Gamma","Epsilon","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-02 09:26:53",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-02 09:28:22",1.4965571641922,1.4965571641922,"gen0_033",0.64577,0.198292,0.177638,1,1,0,0,1,0,1,1,1,0,1,0,0,0.0576455653575821,0.1693211990713,0.0615405925617774,7
1,"2014-12-02 09:29:53",3.00758279959361,1.52424946626027,"gen1_0022",-0.102219,0.223498,0.028834,0,0,0,1,0,0,1,1,0,1,0,1,1,0.0560171333860846,0.0770569720798554,0.0561263980949988,6
2,"2014-12-02 09:31:22",4.48637277682622,1.48637277682622,"gen2_0033",-0.148839,0.071727,0.089509,0,0,0,1,1,0,1,1,0,1,0,1,0,0.0546098920833257,0.0393821282141863,0.0535623416014794,6
3,"2014-12-02 09:32:52",5.99379837910334,1.51046504577001,"gen3_0036",0.459348,0.087134,0.149424,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0521559399889749,0.122230997582268,0.0556345373630601,9
4,"2014-12-02 09:34:31",7.6419806877772,1.65864735444387,"gen4_0043",-0.127875,0.077928,0.090524,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0519883476189777,0.0768933646643995,0.0553014591889858,9
5,"2014-12-02 09:36:24",9.52092181444168,1.88758848110835,"gen5_0023",1.134366,0.074475,0.09028,1,1,0,1,1,0,1,1,1,1,0,0,0,0.0514125514191445,0.150529443569806,0.0601756531756024,8
6,"2014-12-02 09:38:27",11.5685076117516,2.05184094508489,"gen6_0031",0.380298,0.067024,0.034737,1,1,1,1,1,1,1,1,1,1,0,1,0,0.0511394386830041,0.14712052064598,0.0544320720881198,11
7,"2014-12-02 09:40:33",13.6823096354802,2.11564296881358,"gen7_0042",0.183164,0.064846,0.064623,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0504398191996305,0.0815470457453324,0.0551413876981952,8
8,"2014-12-02 09:42:44",15.8533678849538,2.18670121828715,"gen8_0053",0.385691,0.067122,0.03038,1,0,0,1,1,1,1,1,1,1,0,1,0,0.0506787599167946,0.11933991993255,0.0538281528677614,9
9,"2014-12-02 09:44:46",17.889269622167,2.03926962216695,"gen9_0032",0.486572,0.055686,0.062659,1,1,0,1,1,0,1,1,1,1,0,0,1,0.0500008141600182,0.0962613908418925,0.0555809005570096,9
10,"2014-12-02 09:46:49",19.9436286091805,2.06029527584712,"gen10_0025",0.462784,0.057802,0.063716,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0498627074472803,0.0821499442404664,0.0552695212026078,8
11,"2014-12-02 09:48:46",21.8891811688741,1.95584783554077,"gen11_0001",0.462784,0.057802,0.063716,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0498627074472803,0.0832664064939922,0.0552695212026078,8
12,"2014-12-02 09:50:47",23.9056082169215,2.02227488358815,"gen12_0025",0.46319,0.057899,0.063568,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0498625010683215,0.0799259015539597,0.0552663456271774,8
13,"2014-12-02 09:52:58",26.0890971620878,2.18909716208776,"gen13_0056",0.401124,0.057903,0.063652,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0499307709361228,0.0796810088772909,0.0552963276280408,8
14,"2014-12-02 09:54:58",28.0880807638168,2.0047474304835,"gen14_0023",0.440193,0.060253,0.065237,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0499046846657056,0.0823451774867584,0.0553154531775651,8
15,"2014-12-02 09:56:57",30.0715391119321,1.98820577859879,"gen15_0002",0.441476,0.060184,0.066996,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0499418281546363,0.0749980153564624,0.055334532807282,8
16,"2014-12-02 09:58:59",32.1007536172867,2.03408695062002,"gen16_0048",0.501427,0.060749,0.064627,0,1,0,1,1,0,1,1,1,1,0,0,1,0.049904904689641,0.0953762689712401,0.0554258355484224,8
17,"2014-12-02 10:00:58",34.0994547406832,1.99945474068324,"gen17_0039",0.505277,0.060625,0.066369,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0499227962607054,0.0877083649157114,0.055497212381161,8
18,"2014-12-02 10:03:14",36.350010128816,2.26667679548264,"gen18_0047",0.442835,0.060428,0.063834,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0498907733735291,0.0900648459243146,0.0552941894526837,8
19,"2014-12-02 10:05:15",38.3807235638301,2.03072356383006,"gen19_0064",0.474964,0.060397,0.065169,0,1,0,1,1,0,1,1,1,1,0,0,1,0.0498882025332167,0.0880381377700507,0.0553560495940564,8
20,"2014-12-02 10:07:21",40.4680125196775,2.10134585301081,"gen20_0018",0.4461,0.060743,0.062506,0,1,0,1,1,0,1,1,1,1,0,0,1,0.049903950444717,0.0917561559791328,0.0552933754721217,8
