"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1"
"gen3_0001",315,9.1,1,1,0,0,1,0,1,1,1,1,1,1,0
"gen3_0002",700,11.3,1,1,1,1,1,1,1,1,1,0,0,0,0
"gen3_0003",231,13.2,0,0,0,1,1,1,1,1,0,1,0,1,0
"gen3_0004",990,9.9,0,1,1,1,1,0,1,0,1,0,0,0,1
"gen3_0005",154,10.6,0,1,0,1,1,1,1,1,0,1,1,1,0
"gen3_0006",567,11.7,1,1,1,0,1,0,1,1,0,1,1,0,0
"gen3_0007",870,9.2,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen3_0008",961,11.7,1,1,1,0,1,0,1,1,1,0,0,1,1
"gen3_0009",852,9.6,0,1,1,0,1,1,1,0,1,0,1,1,1
"gen3_0010",675,15.9,1,0,1,1,0,0,1,1,1,0,0,0,0
"gen3_0011",770,15.8,1,0,1,1,0,1,1,1,0,0,0,1,0
"gen3_0012",463,13,1,1,1,1,1,0,1,1,0,1,1,1,0
"gen3_0013",770,14.8,1,1,1,1,1,0,1,0,0,1,0,0,0
"gen3_0014",796,12.7,1,1,1,0,1,1,1,0,1,0,0,0,0
"gen3_0015",529,15.4,0,0,0,0,1,0,1,1,0,0,1,1,1
"gen3_0016",439,13.1,1,0,1,1,0,0,1,1,1,0,0,1,0
"gen3_0017",654,12.8,1,0,0,1,1,1,1,0,1,0,0,0,0
"gen3_0018",373,13.1,0,1,1,0,1,1,1,1,0,1,0,1,0
"gen3_0019",373,9,1,1,0,0,1,1,1,1,1,0,1,1,0
"gen3_0020",642,11.4,1,1,1,1,1,0,1,1,1,1,0,0,0
"gen3_0021",777,14.7,0,0,1,1,1,1,1,0,0,1,0,1,0
"gen3_0022",224,13.3,1,1,0,1,1,0,1,1,0,1,0,0,0
"gen3_0023",792,11.8,1,1,1,0,1,1,1,1,1,0,0,1,1
"gen3_0024",965,12.6,1,1,1,0,1,0,1,0,1,0,0,0,0
"gen3_0025",450,13.1,1,0,1,1,1,0,1,1,0,1,0,1,0
"gen3_0026",452,13,1,1,1,1,0,0,1,1,1,0,1,1,0
"gen3_0027",769,10.2,1,1,1,1,1,1,1,1,1,0,1,0,1
"gen3_0028",801,10.3,1,1,1,1,1,1,1,1,1,0,0,0,0
"gen3_0029",688,11.4,1,1,1,1,1,1,1,1,1,1,0,0,0
"gen3_0030",579,11.6,1,1,1,0,1,0,1,1,0,0,1,0,0
"gen3_0031",443,13.6,1,0,0,1,0,1,1,1,0,0,0,1,0
"gen3_0032",481,12.8,0,1,1,1,1,1,1,1,0,1,1,1,0
"gen3_0033",559,12.6,0,1,1,0,1,1,1,1,0,1,0,1,0
"gen3_0034",239,12.3,1,0,0,1,1,0,1,1,0,1,1,0,0
"gen3_0035",799,13.7,1,1,1,1,1,0,1,0,0,1,1,0,0
"gen3_0036",434,14.1,1,1,1,1,1,0,1,1,0,1,0,1,0
"gen3_0037",864,12.6,1,1,1,1,1,1,1,0,1,0,0,0,1
"gen3_0038",802,9.3,1,1,1,0,1,1,1,1,1,0,1,0,0
"gen3_0039",549,14.2,1,1,0,0,1,0,1,1,0,0,1,0,1
"gen3_0040",547,12.9,0,0,1,0,1,0,1,1,0,1,1,1,0
"gen3_0041",723,12,0,0,1,1,1,1,1,1,1,0,0,1,0
"gen3_0042",208,12.5,1,1,0,1,1,1,1,1,0,1,0,0,0
"gen3_0043",123,11,0,1,1,1,1,1,1,1,0,1,0,1,0
"gen3_0044",731,10.9,1,1,0,1,1,1,1,1,1,0,1,0,0
"gen3_0045",477,12.6,1,1,0,0,1,0,1,1,0,1,1,0,0
"gen3_0046",608,11.3,1,1,1,1,1,0,1,0,1,1,0,1,0
"gen3_0047",618,10.7,0,1,1,1,1,1,1,0,1,0,0,1,1
"gen3_0048",526,9.8,0,1,0,1,1,0,1,1,0,1,1,0,0
"gen3_0049",865,15.5,0,1,0,0,1,0,1,0,1,0,1,1,1
"gen3_0050",516,9.5,0,0,1,0,1,1,1,1,0,0,1,1,1
"gen3_0051",774,12.8,0,0,1,1,1,1,1,0,0,0,0,0,0
"gen3_0052",447,10.3,0,1,0,1,1,0,1,1,1,1,0,1,1
"gen3_0053",916,11.2,0,1,1,1,1,0,1,0,1,1,0,0,1
"gen3_0054",844,13.5,1,1,1,1,1,0,1,0,0,0,0,0,0
"gen3_0055",637,11.8,1,1,1,0,1,1,1,1,0,1,0,0,0
"gen3_0056",726,12.6,1,1,1,0,1,0,1,0,1,0,1,0,0
"gen3_0057",879,9.8,0,1,1,1,1,1,1,1,1,0,1,0,1
"gen3_0058",981,9.3,1,1,1,1,1,0,1,0,1,0,0,0,1
"gen3_0059",318,14.3,1,1,1,1,1,0,1,1,0,1,0,1,0
"gen3_0060",767,9.6,1,1,0,0,1,0,1,0,1,1,1,0,0
"gen3_0061",728,12.9,1,1,1,0,0,0,1,0,1,0,0,1,0
"gen3_0062",507,12.9,1,0,1,1,1,1,1,1,1,0,0,0,0
"gen3_0063",280,10.5,1,1,0,0,1,0,1,1,1,1,1,1,0
"gen3_0064",189,9.2,0,1,0,1,1,1,1,1,0,1,1,1,0
