"NAMES","N","Cost","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
"gen6_0030",722,11,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0541576651733488,0.0971602839802492,0.05467148758875,9
"gen6_0001",726,9.8,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0544015445737381,0.0794630630052509,0.0541398656640815,9
"gen6_0002",281,11,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0544620144214876,0.0721413439147636,0.0550167040021724,8
"gen6_0020",578,10.8,1,1,1,1,1,1,1,1,1,1,0,1,0,0.0544758492866757,0.106342400817656,0.054290689179934,11
"gen6_0052",549,10.9,0,1,0,0,1,0,1,1,1,1,1,1,0,0.0545108953789151,0.0849940186932296,0.0552867009045642,8
"gen6_0034",762,11.1,0,1,0,1,1,0,1,1,1,1,0,1,0,0.0545604666366277,0.0858361274740155,0.0542876065855515,8
"gen6_0029",726,10.3,0,1,1,0,1,1,1,1,1,1,0,1,0,0.0545901042599768,0.0801877731031077,0.0543042274738801,9
"gen6_0022",563,11.6,1,1,1,0,1,1,1,1,0,1,0,1,0,0.054626282156245,0.0763601523707354,0.0534291701824481,9
"gen6_0044",687,10.7,0,1,0,1,1,0,1,1,1,1,0,1,0,0.0546304966258183,0.079510340293985,0.0542507407684275,8
"gen6_0048",724,11.3,0,1,1,0,1,1,1,1,1,1,0,1,0,0.0546621600537723,0.0852675655621541,0.0539075854543384,9
"gen6_0042",501,10.3,0,1,0,1,1,1,1,1,1,1,0,1,0,0.05466748151974,0.0805404438924867,0.0532269874363837,9
"gen6_0005",768,8.8,0,1,0,1,1,0,1,1,1,1,0,1,0,0.0546697638792707,0.0621606578959665,0.0527769005950342,8
"gen6_0064",584,11,0,1,1,0,1,1,1,1,1,1,1,1,0,0.0546717998113159,0.106187315531721,0.0549944503521079,10
"gen6_0056",576,10.4,0,1,1,0,1,1,1,1,1,1,0,1,0,0.0546928611512917,0.0747158450867258,0.0531153062466318,9
"gen6_0003",596,11,0,0,1,0,1,1,1,1,1,1,1,1,0,0.0547241349301347,0.0988373410552396,0.054823332584091,9
"gen6_0059",579,10.8,1,1,1,1,1,1,1,1,1,0,0,1,0,0.0547475572951997,0.0828156471706583,0.0552517471020205,10
"gen6_0063",423,9.8,0,1,1,1,1,0,1,1,1,1,0,1,0,0.0547503035986998,0.0730745000375365,0.0530801074713492,9
"gen6_0036",311,11.9,0,1,1,0,1,1,1,1,0,1,0,1,0,0.0547558872071733,0.0586912329494564,0.053603639016274,8
"gen6_0013",722,11.3,0,0,1,1,1,1,1,1,1,0,0,1,0,0.0547801167201055,0.0816298977337477,0.0550541984636162,8
"gen6_0009",529,10.8,0,1,0,0,1,1,1,1,1,1,0,1,0,0.054800877241184,0.0687878249136386,0.0537509612182172,8
"gen6_0051",261,10.9,0,1,0,0,1,1,1,1,1,1,0,1,0,0.0548396939032349,0.0585639047895859,0.0517220422998736,8
"gen6_0038",656,11.3,0,1,1,0,1,0,1,1,1,1,0,1,0,0.0548534281981784,0.0769196866926526,0.0552090208804763,8
"gen6_0008",569,10.5,1,1,1,0,1,1,1,1,0,1,0,1,0,0.0548599198614469,0.068580250680231,0.0530914833119772,9
"gen6_0033",602,11.2,0,0,1,0,1,1,1,1,1,1,1,1,0,0.054861382458027,0.103961991108441,0.0552911402289183,9
"gen6_0045",581,10.7,0,0,1,0,1,1,1,1,1,1,1,1,0,0.0548615405743471,0.096725445000688,0.0550676734259431,9
"gen6_0060",712,11,0,0,1,0,1,1,1,1,0,1,0,1,0,0.0549225228684998,0.0574851257394604,0.0535299567009813,7
"gen6_0012",722,12.9,0,1,1,0,1,0,1,1,1,1,0,1,0,0.0549421052724736,0.0919654375008895,0.0558218173110232,8
"gen6_0016",640,11.3,0,1,1,0,1,1,1,1,1,1,0,1,0,0.0549572581462423,0.0935102742628301,0.0543000199441907,9
"gen6_0053",589,9.8,0,0,1,0,1,1,1,1,1,1,0,1,0,0.0549629930983075,0.0610804917251721,0.0531944010051436,8
"gen6_0037",462,11.3,0,1,0,1,1,1,1,1,1,1,0,1,0,0.0549688814649158,0.0871950699722107,0.0537911534082071,9
"gen6_0010",581,11.7,0,1,1,1,1,1,1,1,0,1,0,1,0,0.0549710193667346,0.0841402108745818,0.0533627529531729,9
"gen6_0018",576,10.8,1,0,1,0,1,1,1,1,1,1,0,1,0,0.0549847718838304,0.0860838815217883,0.0545942220643215,9
"gen6_0055",580,12.2,1,1,1,0,1,0,1,1,0,1,0,1,0,0.0550286616841328,0.0711673054301655,0.053990414131348,8
"gen6_0011",382,9.4,0,1,0,1,1,0,1,1,1,1,0,1,0,0.0550462136785752,0.0574970755025082,0.0526042543521903,8
"gen6_0017",589,10.7,0,1,1,0,1,1,1,1,0,1,1,1,0,0.0551321310461424,0.0777484978885127,0.0538417726874233,9
"gen6_0014",361,11.1,1,1,0,0,1,1,1,1,0,1,1,1,0,0.0551492538948412,0.0843169068948142,0.0531111151797671,9
"gen6_0046",584,10.8,1,1,1,0,1,1,1,1,0,1,1,1,0,0.0552142380571844,0.100048091895857,0.0533501048164928,10
"gen6_0006",587,12.1,0,1,1,0,1,0,1,1,0,1,0,1,0,0.0552223920296116,0.0590483790441906,0.0537219018457881,7
"gen6_0058",722,11.5,1,1,1,0,1,1,1,1,1,0,0,1,0,0.0552341777340664,0.0802089154374015,0.0559490119545157,9
"gen6_0041",453,11,0,1,1,0,1,0,1,0,0,1,0,1,0,0.0552839807796865,0.044322295850182,0.0541191894338799,6
"gen6_0019",572,11.4,0,1,1,0,1,1,1,0,0,1,1,1,0,0.0553562327147432,0.0782292186459887,0.0546202301048707,8
"gen6_0043",650,11.1,1,1,1,0,1,0,1,1,0,1,0,1,0,0.0553711489362309,0.0630334090527286,0.0535786956880306,8
"gen6_0049",729,11.3,0,1,0,1,1,0,1,1,1,0,0,1,0,0.0555355939161218,0.0679484831567479,0.0552032189765876,7
"gen6_0057",722,11.3,0,1,1,1,1,1,1,1,1,1,1,1,0,0.0556588312012573,0.134868108661092,0.0547699448790949,11
"gen6_0023",430,11.6,1,1,1,0,1,1,1,1,0,1,0,1,1,0.0559918791597527,0.0988800558889028,0.0544968150919429,10
"gen6_0062",564,10.8,0,1,1,0,1,0,1,1,1,0,0,1,0,0.0561094201241534,0.0508547859090872,0.0568212733412424,7
"gen6_0047",638,11.3,0,1,1,1,0,1,1,1,1,0,0,1,0,0.0564690287851561,0.0689472679017391,0.0522272990777469,8
"gen6_0054",729,11.4,0,1,0,1,1,1,1,1,1,1,1,1,0,0.0565830870866887,0.134654735367107,0.0548542262269483,10
"gen6_0007",633,10.7,0,1,0,1,0,1,1,1,0,1,0,1,0,0.0570676686204417,0.0548118723954546,0.0501694619940123,7
"gen6_0024",503,11.4,1,1,0,0,1,1,1,0,0,1,1,1,0,0.0574016986469414,0.0799662154456066,0.0559763143817716,8
"gen6_0004",256,11.1,1,1,0,0,1,0,1,0,0,1,0,1,0,0.0596274889343886,0.0344538941292168,0.0564959632000868,6
"gen6_0035",572,11.7,1,0,1,1,1,1,1,0,0,1,1,1,0,0.06073757406268,0.108052136628903,0.0541932114517814,9
"gen6_0031",538,-2.6,0,1,1,0,1,1,1,1,1,0,1,1,1,0.062701029755348,0.0130018516255169,0.0569392124576935,10
"gen6_0027",975,-2,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0637301383769057,0.00996594818335592,0.0581784813411176,9
"gen6_0021",538,11.1,0,1,0,1,1,1,1,0,1,1,0,1,0,0.0655546882430069,0.0760953352151539,0.067343270991466,8
"gen6_0032",713,10.9,0,1,0,1,1,1,1,0,1,1,0,1,1,0.0685686476558603,0.106119826014409,0.0670521726974766,9
"gen6_0015",572,11.9,1,0,0,0,1,1,1,0,0,1,0,1,0,0.0697154242993274,0.047734080011522,0.0660423829226787,6
"gen6_0025",608,10.7,0,1,1,1,1,0,0,1,1,1,0,1,0,0.0947040123660386,0.0630246014728184,0.108776364067785,8
"gen6_0050",761,11.3,0,1,1,1,1,1,0,1,1,1,0,1,0,0.0955980848832034,0.0798759039804967,0.109306907457879,9
"gen6_0026",630,11.2,0,1,1,1,0,0,0,1,1,1,0,1,0,0.105381311732582,0.0525600010746534,0.11164814135574,7
"gen6_0040",603,-12,0,1,0,1,1,0,1,1,0,1,0,1,0,0.156269884153325,0.00289724472034477,0.154898999305517,7
"gen6_0039",734,-17.1,1,1,1,1,1,1,1,1,0,1,0,1,0,0.265287818481453,0.0014460021880875,0.251760127253588,10
"gen6_0028",644,-18.3,0,1,0,1,1,0,1,1,0,1,0,1,0,0.344145511168678,0.00053572865758471,0.330189937552005,7
"gen6_0061",534,-18.2,1,1,0,0,1,1,1,1,0,1,0,1,0,0.355643964423029,0.000571299314811773,0.337933404401807,8
