"Gen","Time","MinutesAll","MinutesThis","NAMES","Neurons","Ridge","TempMed","TempMax","TempMin","HR","Vel","R","Bo0d","DeltaT","DeltaT_menos1","DeltaT_mas1","M","M_menos1","M_mas1","Cost1","Size1","CostTest","NumFeatures"
NA,"2014-12-09 21:35:26",NA,NA,"---------",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"2014-12-09 21:50:22",14.9399026632309,14.9399026632309,"gen0_034",29,0.22734,1,0,1,1,1,1,1,1,1,0,0,0,1,0.0609851489078138,0.0838572415672018,0.0761547691417659,9
1,"2014-12-09 21:58:25",22.9941510438919,8.06081771055857,"gen1_0032",22,0.302096,1,1,0,1,1,1,1,1,0,1,1,1,0,0.0602466599234391,0.0771038118938843,0.0732719850736494,10
2,"2014-12-09 22:09:59",34.5631432771683,11.5798099438349,"gen2_0001",22,0.302096,1,1,0,1,1,1,1,1,0,1,1,1,0,0.0602466599234391,0.0797496818356752,0.0732719850736494,10
3,"2014-12-09 22:26:00",50.5825730959574,16.0325730959574,"gen3_0057",22,0.278293,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0598498047067228,0.0726260748211574,0.0743304468189507,10
4,"2014-12-09 22:42:01",66.5977269887924,16.0310603221258,"gen4_0035",22,0.218629,1,1,1,0,1,1,1,1,0,1,0,0,0,0.0594838568116847,0.0527648031658746,0.072971238632378,8
5,"2014-12-09 22:57:35",82.1576880574226,15.5743547240893,"gen5_0044",23,0.203822,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0591485804943773,0.0918376257459592,0.0745584993533967,10
6,"2014-12-09 23:14:13",98.7882960875829,16.6382960875829,"gen6_0057",23,0.247635,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0593053529186891,0.0791677156945115,0.0734549165143262,10
7,"2014-12-09 23:35:30",120.072297477722,21.2889641443888,"gen7_0031",23,0.261542,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0591314918050147,0.0767003993129893,0.0738790038854857,10
8,"2014-12-09 23:58:01",142.590478698413,22.5238120317459,"gen8_0061",18,0.221194,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0587701351932678,0.0846839606361746,0.0751496036073993,10
9,"2014-12-10 00:17:36",162.181853266557,19.5985199332237,"gen9_0035",25,0.236228,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0589076325250686,0.0860694866878054,0.0737188275877442,10
10,"2014-12-10 00:37:24",181.973491303126,19.8068246364593,"gen10_0001",25,0.236228,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0589076325250686,0.0820828423731758,0.0737188275877442,10
11,"2014-12-10 00:58:25",202.995699894428,21.0290332277616,"gen11_0001",25,0.236228,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0589076325250686,0.0833288243616985,0.0737188275877442,10
12,"2014-12-10 01:17:19",221.890721972783,18.9073886394501,"gen12_0063",22,0.197004,1,1,1,0,1,1,1,1,0,1,0,0,0,0.0593090791885393,0.0609378916928121,0.0730497148337797,8
13,"2014-12-10 01:35:32",240.116340005398,18.2330066720645,"gen13_0062",22,0.197428,1,1,1,0,1,1,1,1,0,1,0,0,0,0.0592523688271869,0.0596535796202925,0.073014266315817,8
14,"2014-12-10 01:54:54",259.481851089001,19.3818510890007,"gen14_0034",22,0.212268,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0590479086870216,0.0869049849945842,0.0731721783732954,10
15,"2014-12-10 02:13:45",278.32951335907,18.8628466924032,"gen15_0029",18,0.210757,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0590888027941602,0.0830150394909484,0.0744656995724167,10
16,"2014-12-10 02:35:05",299.662337712447,21.3456710457802,"gen16_0062",23,0.231392,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0590325517213784,0.0753057921770983,0.0729622518204289,10
17,"2014-12-10 02:56:55",321.484535360336,21.8345353603363,"gen17_0031",22,0.206937,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0590383990803073,0.0946034770627466,0.0731574214863951,10
18,"2014-12-10 03:20:00",344.567194640636,23.0838613073031,"gen18_0044",22,0.212089,1,1,1,1,1,1,1,1,0,1,1,0,0,0.058951401723978,0.0925983721442945,0.0732145288560464,10
19,"2014-12-10 03:41:19",365.886044450601,21.3193777839343,"gen19_0034",22,0.212524,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0590550645053069,0.0879967248302645,0.0731928930156037,10
20,"2014-12-10 04:02:19",386.898892605305,21.0155592719714,"gen20_0025",18,0.216362,1,1,1,1,1,1,1,1,0,1,1,0,0,0.0590204283385733,0.0852045218133012,0.074390403918271,10
