"Par1","Par2"
12,10
14,16
5,10
2,15
1,12
14,4
5,1
13,2
2,5
11,15
13,5
12,11
9,13
16,6
8,16
6,1
13,9
16,1
7,14
13,12
6,11
13,5
5,9
9,6
7,3
10,16
6,16
9,12
16,6
5,6
7,10
16,2
10,14
9,5
4,5
6,7
1,3
15,13
3,2
10,1
1,11
5,3
9,11
8,10
8,7
4,2
11,15
10,9
